entry_index,exit_index,entry_price,exit_price,pnl,reason
2018-11-19,2018-11-20,33.21,32.81,-12.044564890093302,Stop-loss hit
2018-11-30,2018-12-04,31.77,30.46,-41.233868429335814,Stop-loss hit
2018-12-04,2018-12-10,30.46,28.49,-64.67498358502962,Stop-loss hit
2018-12-17,2018-12-19,27.9,29.05,41.21863799283162,Take-profit hit
2018-12-20,2018-12-21,26.71,26.33,-14.226881317858574,Stop-loss hit
2019-01-04,2019-01-09,28.56,28.92,-12.605042016806829,Stop-loss hit
2019-01-18,2019-01-22,29.43,28.11,44.85219164118248,Take-profit hit
2019-01-23,2019-01-24,28.06,27.92,-4.98930862437623,Stop-loss hit
2019-01-28,2019-01-29,27.99,28.7,25.366202215076846,Take-profit hit
2019-01-31,2019-02-01,29.72,28.79,31.292059219380878,Take-profit hit
2019-02-07,2019-02-08,27.13,27.47,12.532252119424987,Stop-loss hit
2019-02-20,2019-02-21,29.19,29.62,-14.731072285029107,Stop-loss hit
2019-03-06,2019-03-07,28.34,27.38,-33.87438249823574,Stop-loss hit
2019-03-20,2019-03-21,28.98,29.42,-15.182884748102184,Stop-loss hit
2019-03-26,2019-03-29,27.4,28.05,23.722627737226354,Take-profit hit
2019-04-01,2019-04-02,29.28,28.44,28.688524590163926,Take-profit hit
2019-04-04,2019-04-05,29.26,29.47,-7.177033492822874,Stop-loss hit
2019-04-15,2019-04-16,27.8,27.88,2.8776978417265573,Stop-loss hit
2019-04-25,2019-05-02,27.21,25.93,-47.04152884968765,Stop-loss hit
2019-05-07,2019-05-08,25.15,24.78,-14.711729622266299,Stop-loss hit
2019-05-20,2019-05-21,24.03,24.67,26.63337494798171,Take-profit hit
2019-05-22,2019-05-23,24.27,23.11,-47.79563246806757,Stop-loss hit
2019-06-12,2019-06-14,21.13,21.64,24.136299100804617,Take-profit hit
2019-06-18,2019-06-19,22.53,22.38,6.657789613848297,Stop-loss hit
2019-06-26,2019-07-01,23.33,22.86,20.145735105014957,Take-profit hit
2019-07-02,2019-07-03,23.28,22.67,26.202749140893445,Take-profit hit
2019-07-08,2019-07-09,22.34,22.12,-9.847806624888042,Stop-loss hit
2019-07-15,2019-07-16,23.16,23.43,-11.658031088082884,Stop-loss hit
2019-07-18,2019-07-22,23.38,22.99,16.680923866552632,Take-profit hit
2019-07-24,2019-07-26,23.55,23.13,17.83439490445867,Take-profit hit
2019-07-31,2019-08-01,22.63,21.35,-56.56208572691108,Stop-loss hit
2019-08-09,2019-08-14,19.33,17.84,-77.0822555613036,Stop-loss hit
2019-08-14,2019-08-15,17.84,16.84,-56.053811659192824,Stop-loss hit
2019-08-27,2019-08-29,16.75,17.79,62.08955223880592,Take-profit hit
2019-09-05,2019-09-09,19.72,20.2,-24.340770791075073,Stop-loss hit
2019-09-24,2019-09-30,20.58,20.16,-20.408163265306037,Stop-loss hit
2019-10-08,2019-10-11,18.53,19.35,44.25256341068539,Take-profit hit
2019-10-15,2019-10-16,19.53,19.26,13.824884792626706,Take-profit hit
2019-10-17,2019-10-18,20.26,21.53,-62.68509378084894,Stop-loss hit
