,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2018-11-20,2018-11-23,46.31,44.88,-30.878859857482176,Stop-loss hit
1,2018-11-30,2018-12-04,44.37,45.87,33.806626098715356,Take-profit hit
2,2018-12-12,2018-12-13,46.75,47.37,-13.262032085561442,Stop-loss hit
3,2018-12-17,2018-12-19,47.69,47.0,14.468442021388084,Take-profit hit
4,2018-12-28,2018-12-31,47.85,48.21,-7.523510971786822,Stop-loss hit
5,2019-01-03,2019-01-04,46.4,49.46,65.94827586206902,Stop-loss hit
6,2019-01-04,2019-01-07,49.46,49.44,0.40436716538623385,Stop-loss hit
7,2019-01-22,2019-01-25,46.42,48.2,38.34554071520898,Take-profit hit
8,2019-01-29,2019-01-30,49.12,50.81,-34.405537459283494,Stop-loss hit
9,2019-02-12,2019-02-13,51.31,51.77,-8.965114012863006,Stop-loss hit
10,2019-02-22,2019-03-06,54.45,53.2,22.956841138659318,Take-profit hit
11,2019-03-07,2019-03-08,51.89,51.55,-6.552322220081006,Stop-loss hit
12,2019-03-18,2019-03-19,53.05,52.68,6.974552309142271,Take-profit hit
13,2019-03-20,2019-03-21,53.43,53.68,-4.679019277559424,Stop-loss hit
14,2019-03-26,2019-03-28,53.45,54.03,-10.851262862488275,Stop-loss hit
15,2019-04-08,2019-04-11,57.09,56.23,15.063934139078762,Take-profit hit
16,2019-04-15,2019-04-16,56.02,55.38,-11.424491253123893,Stop-loss hit
17,2019-05-07,2019-05-13,51.46,50.62,-16.32335794792078,Stop-loss hit
18,2019-05-13,2019-05-15,50.62,51.46,16.594231529039973,Take-profit hit
19,2019-05-20,2019-05-22,52.33,51.74,11.27460347792846,Take-profit hit
20,2019-05-24,2019-05-28,52.6,53.28,-12.92775665399239,Stop-loss hit
21,2019-06-04,2019-06-05,52.96,52.36,11.329305135951689,Take-profit hit
22,2019-06-07,2019-06-10,53.2,53.4,-3.759398496240521,Stop-loss hit
23,2019-06-18,2019-06-20,56.31,57.18,-15.450186467767667,Stop-loss hit
24,2019-06-20,2019-06-26,57.18,57.91,-12.76670164393139,Stop-loss hit
25,2019-07-05,2019-07-10,56.61,57.46,15.01501501501504,Take-profit hit
26,2019-07-18,2019-07-19,57.87,58.43,-9.676861931916402,Stop-loss hit
27,2019-07-24,2019-07-25,56.36,56.06,-5.3229240596167,Stop-loss hit
28,2019-07-31,2019-08-01,54.96,53.04,-34.93449781659392,Stop-loss hit
29,2019-08-14,2019-08-20,49.29,48.46,-16.839115439237133,Stop-loss hit
30,2019-08-20,2019-08-21,48.46,47.63,-17.127527858027204,Stop-loss hit
31,2019-08-30,2019-09-04,48.98,50.43,-29.603919967333663,Stop-loss hit
32,2019-09-04,2019-09-12,50.43,50.99,-11.104501288915374,Stop-loss hit
33,2019-09-24,2019-09-25,49.25,49.67,8.527918781725923,Stop-loss hit
