,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2018-11-20,2018-11-21,93.18,95.2,21.678471775058984,Take-profit hit
1,2018-11-27,2018-11-28,93.45,97.0,37.98822899946492,Stop-loss hit
2,2018-11-28,2018-11-30,97.0,97.73,-7.52577319587633,Stop-loss hit
3,2018-12-10,2018-12-11,90.4,90.46,0.66371681415916,Stop-loss hit
4,2018-12-14,2018-12-21,89.35,84.75,-51.48293228875204,Stop-loss hit
5,2019-01-04,2019-01-07,93.1,92.96,1.5037593984962467,Stop-loss hit
6,2019-01-16,2019-01-18,97.89,100.69,-28.60353457963017,Stop-loss hit
7,2019-01-30,2019-02-04,99.48,102.05,-25.834338560514606,Stop-loss hit
8,2019-02-12,2019-02-14,101.98,101.41,5.589331241419958,Take-profit hit
9,2019-02-15,2019-02-19,104.04,107.07,-29.123414071510833,Stop-loss hit
10,2019-02-25,2019-02-28,111.99,109.48,22.412715421019655,Take-profit hit
11,2019-03-06,2019-03-07,106.52,104.92,-15.020653398422779,Stop-loss hit
12,2019-03-14,2019-03-18,103.99,104.59,5.769785556303574,Take-profit hit
13,2019-03-20,2019-03-21,106.42,106.68,-2.4431497838752594,Stop-loss hit
14,2019-03-22,2019-03-29,103.3,104.73,13.843175217812265,Take-profit hit
15,2019-04-01,2019-04-02,105.87,106.84,-9.162180032114847,Stop-loss hit
16,2019-04-23,2019-04-24,107.71,99.14,79.56549995357899,Stop-loss hit
17,2019-04-24,2019-04-25,99.14,96.97,-21.88823885414567,Stop-loss hit
18,2019-05-01,2019-05-03,96.25,98.85,27.012987012986954,Take-profit hit
19,2019-05-08,2019-05-10,95.6,96.69,11.4016736401674,Take-profit hit
20,2019-05-13,2019-05-21,93.13,93.81,7.301621389455673,Take-profit hit
21,2019-05-23,2019-05-31,91.18,89.12,-22.59267383198072,Stop-loss hit
22,2019-06-11,2019-06-13,92.18,94.53,-25.493599479279606,Stop-loss hit
23,2019-06-13,2019-06-14,94.53,92.21,24.54247328890307,Take-profit hit
24,2019-06-17,2019-06-18,95.85,97.2,-14.08450704225361,Stop-loss hit
25,2019-06-28,2019-07-01,97.61,96.88,7.478741932179121,Take-profit hit
26,2019-07-02,2019-07-03,95.54,94.96,-6.070755704417129,Stop-loss hit
27,2019-07-08,2019-07-09,94.12,91.72,-25.49936251593716,Stop-loss hit
28,2019-07-16,2019-07-18,96.15,95.11,10.816432657306358,Take-profit hit
29,2019-07-22,2019-07-23,96.31,95.35,9.967812272868944,Take-profit hit
30,2019-07-26,2019-07-30,96.41,96.01,4.148947204646732,Take-profit hit
31,2019-08-01,2019-08-02,95.29,94.02,-13.327736383671006,Stop-loss hit
