,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2018-11-15,2018-11-16,48.65,51.03,48.92086330935257,Take-profit hit
1,2018-11-20,2018-11-23,48.88,47.35,-31.30114566284781,Stop-loss hit
2,2018-11-23,2018-11-26,47.35,46.99,-7.602956705385415,Stop-loss hit
3,2018-11-30,2018-12-03,46.39,48.04,35.56801034705752,Take-profit hit
4,2018-12-10,2018-12-12,45.34,47.06,37.935597706219646,Take-profit hit
5,2018-12-27,2018-12-31,48.01,48.4,-8.123307644240795,Stop-loss hit
6,2019-01-03,2019-01-04,46.68,49.36,57.41216795201371,Stop-loss hit
7,2019-01-04,2019-01-07,49.36,49.72,-7.293354943273894,Stop-loss hit
8,2019-01-15,2019-01-22,50.66,50.09,11.25148045795486,Take-profit hit
9,2019-01-25,2019-01-28,52.28,52.66,-7.268553940321259,Stop-loss hit
10,2019-02-15,2019-02-19,57.26,57.9,-11.17708697170801,Stop-loss hit
11,2019-03-05,2019-03-06,59.01,59.37,-6.100660904931358,Stop-loss hit
12,2019-03-07,2019-03-08,54.77,54.62,-2.738725579697018,Stop-loss hit
13,2019-03-21,2019-03-22,56.86,56.45,7.210692930003458,Take-profit hit
14,2019-03-25,2019-03-26,56.94,57.85,-15.981735159817418,Stop-loss hit
15,2019-04-12,2019-04-16,62.8,60.48,36.94267515923568,Stop-loss hit
16,2019-04-16,2019-04-17,60.48,60.49,0.16534391534399995,Stop-loss hit
17,2019-04-30,2019-05-01,58.85,57.99,-14.613423959218341,Stop-loss hit
18,2019-05-08,2019-05-13,57.76,57.18,-10.041551246537367,Stop-loss hit
19,2019-05-13,2019-05-14,57.18,58.49,22.91010842952085,Take-profit hit
20,2019-05-16,2019-05-17,59.8,59.86,-1.0033444816053894,Stop-loss hit
21,2019-05-28,2019-05-29,60.75,59.33,23.374485596707846,Take-profit hit
22,2019-05-30,2019-05-31,58.97,57.91,-17.975241648295782,Stop-loss hit
23,2019-06-05,2019-06-10,57.83,58.7,15.044094760505006,Take-profit hit
24,2019-06-11,2019-06-12,60.33,60.23,1.6575501408917857,Stop-loss hit
25,2019-06-18,2019-06-19,62.19,59.91,36.66184273999037,Take-profit hit
26,2019-06-26,2019-07-01,61.86,62.67,-13.094083414161044,Stop-loss hit
27,2019-07-05,2019-07-10,60.03,61.44,23.48825587206391,Take-profit hit
28,2019-07-24,2019-07-25,57.91,57.28,-10.878950094974883,Stop-loss hit
29,2019-07-31,2019-08-01,57.08,54.71,-41.52067274001397,Stop-loss hit
30,2019-08-14,2019-08-19,48.67,49.2,10.889665091432118,Take-profit hit
31,2019-08-23,2019-08-28,47.97,48.71,15.426308109234979,Take-profit hit
32,2019-08-29,2019-08-30,49.24,50.41,-23.761169780666012,Stop-loss hit
33,2019-09-24,2019-09-26,51.44,51.41,-0.5832037325039102,Stop-loss hit
34,2019-10-01,2019-10-02,51.38,49.79,-30.945893343713575,Stop-loss hit
35,2019-10-11,2019-10-16,53.02,50.44,48.66088268577905,Take-profit hit
36,2019-10-25,2019-10-28,52.57,53.42,-16.168917633631377,Stop-loss hit
37,2019-11-01,2019-11-04,53.94,55.24,-24.10085279940683,Stop-loss hit
38,2019-11-13,2019-11-15,52.05,53.76,32.853025936599444,Take-profit hit
39,2019-11-25,2019-11-29,54.59,54.42,3.114123465836265,Take-profit hit
40,2019-12-02,2019-12-03,55.23,54.55,12.312149194278467,Take-profit hit
41,2019-12-06,2019-12-09,55.39,55.96,-10.290666185231997,Stop-loss hit
42,2019-12-27,2020-01-02,59.34,59.83,-8.257499157397959,Stop-loss hit
43,2020-01-06,2020-01-08,58.32,59.14,14.06035665294925,Take-profit hit
44,2020-01-09,2020-01-13,58.31,59.11,13.71977362373516,Take-profit hit
45,2020-01-17,2020-01-22,60.72,60.49,3.7878787878787366,Stop-loss hit
46,2020-01-22,2020-01-24,60.49,57.54,48.76839146966445,Stop-loss hit
47,2020-01-24,2020-01-27,57.54,55.22,-40.31977754605493,Stop-loss hit
48,2020-02-07,2020-02-13,53.72,54.8,20.104244229337276,Take-profit hit
49,2020-02-24,2020-02-25,51.27,50.36,-17.74917105519804,Stop-loss hit
50,2020-03-06,2020-03-09,45.98,41.43,-98.95606785558934,Stop-loss hit
51,2020-03-11,2020-03-12,42.55,39.19,-78.9659224441833,Stop-loss hit
52,2020-03-16,2020-03-25,40.53,44.84,106.34098198865044,Stop-loss hit
53,2020-03-25,2020-03-26,44.84,45.09,-5.575379125780553,Stop-loss hit
54,2020-03-30,2020-04-01,44.76,44.06,15.63896336014289,Take-profit hit
55,2020-04-06,2020-04-09,46.09,47.56,-31.89412019960943,Stop-loss hit
56,2020-04-17,2020-04-20,47.57,46.64,19.550136640739954,Take-profit hit
57,2020-04-21,2020-04-22,44.73,46.41,37.558685446009385,Take-profit hit
58,2020-04-29,2020-04-30,49.13,46.29,57.80582129045396,Take-profit hit
59,2020-05-01,2020-05-07,44.85,45.85,22.29654403567447,Take-profit hit
60,2020-05-14,2020-05-15,46.56,47.5,-20.189003436426066,Stop-loss hit
61,2020-05-29,2020-06-02,53.86,55.64,-33.04864463423693,Stop-loss hit
62,2020-06-18,2020-06-19,56.08,55.23,-15.156918687589185,Stop-loss hit
63,2020-06-29,2020-06-30,55.53,56.2,12.065550153070443,Take-profit hit
64,2020-07-06,2020-07-08,56.9,58.2,-22.847100175747,Stop-loss hit
65,2020-07-27,2020-07-28,62.53,61.29,19.830481368942937,Take-profit hit
66,2020-07-29,2020-08-05,62.78,64.61,-29.149410640331286,Stop-loss hit
