Date,Price
2018-10-25,1981.0
2018-10-30,1947.0
2018-10-31,1935.0
2018-11-01,1954.0
2018-11-02,1964.0
2018-11-05,1949.0
2018-11-06,1929.0
2018-11-08,1957.0
2018-11-09,1929.0
2018-11-12,1920.0
2018-11-15,1916.0
2018-11-16,1927.0
2018-11-19,1919.0
2018-11-20,1924.0
2018-11-21,1936.0
2018-11-23,1923.0
2018-11-26,1920.0
2018-11-27,1904.0
2018-11-28,1911.0
2018-11-30,1933.0
2018-12-03,1959.0
2018-12-04,1951.0
2018-12-10,1937.0
2018-12-11,1931.0
2018-12-12,1930.0
2018-12-13,1929.0
2018-12-14,1918.0
2018-12-17,1927.0
2018-12-18,1917.0
2018-12-19,1922.0
2018-12-20,1905.0
2018-12-21,1899.0
2018-12-24,1883.0
2018-12-27,1852.0
2018-12-28,1840.0
2018-12-31,1854.0
2019-01-03,1850.0
2019-01-04,1875.0
2019-01-07,1888.0
2019-01-08,1866.0
2019-01-09,1863.0
2019-01-10,1865.0
2019-01-15,1865.0
2019-01-16,1869.0
2019-01-18,1880.0
2019-01-22,1851.0
2019-01-23,1862.0
2019-01-24,1854.0
2019-01-25,1874.0
2019-01-28,1850.0
2019-01-29,1882.0
2019-01-30,1890.0
2019-01-31,1895.0
2019-02-01,1877.0
2019-02-04,1894.0
2019-02-05,1899.0
2019-02-06,1887.0
2019-02-07,1868.0
2019-02-08,1856.0
2019-02-11,1849.0
2019-02-12,1826.0
2019-02-13,1830.0
2019-02-14,1822.0
2019-02-15,1828.0
2019-02-19,1823.0
2019-02-20,1844.0
2019-02-21,1875.0
2019-02-22,1882.0
2019-02-25,1877.0
2019-02-26,1885.0
2019-02-27,1892.0
2019-02-28,1878.0
2019-03-01,1880.0
2019-03-04,1844.0
2019-03-05,1846.0
2019-03-06,1833.0
2019-03-07,1833.0
2019-03-08,1834.0
2019-03-11,1825.0
2019-03-13,1874.0
2019-03-14,1873.0
2019-03-15,1866.0
2019-03-18,1897.0
2019-03-19,1915.0
2019-03-20,1908.0
2019-03-21,1875.0
2019-03-22,1872.0
2019-03-25,1858.0
2019-03-26,1871.0
2019-03-27,1874.0
2019-03-28,1870.0
2019-03-29,1884.0
2019-04-01,1864.0
2019-04-02,1855.0
2019-04-03,1855.0
2019-04-04,1866.0
2019-04-05,1855.0
2019-04-08,1841.0
2019-04-09,1849.0
2019-04-10,1837.0
2019-04-11,1828.0
2019-04-12,1831.0
2019-04-15,1839.0
2019-04-16,1831.0
2019-04-17,1827.0
2019-04-18,1842.0
2019-04-23,1853.0
2019-04-24,1847.0
2019-04-25,1832.0
2019-04-26,1815.0
2019-04-29,1807.0
2019-04-30,1791.0
2019-05-01,1803.0
2019-05-02,1799.0
2019-05-03,1779.0
2019-05-07,1796.0
2019-05-08,1776.0
2019-05-09,1788.0
2019-05-10,1791.0
2019-05-13,1775.0
2019-05-14,1807.0
2019-05-15,1818.0
2019-05-16,1814.0
