,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2022-07-27,2022-07-28,53.5,53.98,-8.971962616822372,Stop-loss hit
1,2022-08-10,2022-08-11,54.96,55.33,-6.732168850072735,Stop-loss hit
2,2022-08-16,2022-08-23,57.81,58.86,-18.162947586922627,Stop-loss hit
3,2022-08-23,2022-08-25,58.86,59.78,-15.630309208290889,Stop-loss hit
4,2022-08-30,2022-09-01,55.49,49.79,-102.72121102901428,Stop-loss hit
5,2022-09-21,2022-09-22,50.2,51.35,22.908366533864513,Take-profit hit
6,2022-09-23,2022-09-26,48.81,47.6,-24.790002048760517,Stop-loss hit
7,2022-10-03,2022-10-04,51.8,53.15,-26.061776061776094,Stop-loss hit
8,2022-10-11,2022-10-12,50.1,49.29,-16.167664670658727,Stop-loss hit
9,2022-10-14,2022-10-24,48.42,48.93,10.532837670384097,Take-profit hit
10,2022-10-26,2022-10-28,51.13,47.48,71.38666145120293,Stop-loss hit
11,2022-10-28,2022-11-01,47.48,49.58,44.22914911541705,Take-profit hit
12,2022-11-04,2022-11-07,52.92,52.81,2.078609221466354,Stop-loss hit
13,2022-11-10,2022-11-11,54.39,58.09,-68.02721088435379,Stop-loss hit
14,2022-11-23,2022-11-28,59.83,59.08,12.535517299013874,Take-profit hit
15,2022-11-29,2022-11-30,60.8,62.91,-34.70394736842105,Stop-loss hit
16,2022-12-08,2022-12-12,63.47,63.02,7.08996376240737,Take-profit hit
17,2022-12-14,2022-12-15,62.43,61.67,-12.173634470607048,Stop-loss hit
18,2023-01-04,2023-01-06,62.52,65.97,-55.18234165067172,Stop-loss hit
19,2023-01-20,2023-01-25,69.27,70.6,-19.200230980222294,Stop-loss hit
20,2023-02-02,2023-02-03,67.46,67.06,-5.929439667951252,Stop-loss hit
21,2023-02-10,2023-02-13,65.86,66.92,16.09474643182512,Take-profit hit
22,2023-02-16,2023-02-17,67.15,66.51,9.530900967982138,Take-profit hit
23,2023-02-21,2023-02-22,66.25,64.04,-33.358490566037645,Stop-loss hit
24,2023-03-10,2023-03-15,60.12,57.89,-37.0924817032601,Stop-loss hit
25,2023-03-15,2023-03-16,57.89,57.51,-6.564173432371784,Stop-loss hit
