entry_index,exit_index,entry_price,exit_price,pnl,reason
2022-07-27,2022-07-28,29.33,29.73,-13.637913399249989,Stop-loss hit
2022-08-10,2022-08-11,31.41,31.7,-9.23272843043614,Stop-loss hit
2022-08-22,2022-08-25,29.69,33.15,116.53755473223298,Stop-loss hit
2022-08-30,2022-09-01,29.82,27.93,-63.38028169014087,Stop-loss hit
2022-09-09,2022-09-14,32.26,29.81,75.94544327340357,Take-profit hit
2022-09-21,2022-09-23,28.19,26.73,-51.79141539553036,Stop-loss hit
2022-10-03,2022-10-04,29.33,30.75,-48.41459256733726,Stop-loss hit
2022-10-14,2022-10-21,27.68,32.02,156.791907514451,Stop-loss hit
2022-10-21,2022-10-24,32.02,31.04,30.605871330418612,Stop-loss hit
2022-11-04,2022-11-08,35.24,35.58,-9.648127128263232,Stop-loss hit
2022-11-10,2022-11-11,36.75,38.26,-41.088435374149604,Stop-loss hit
2022-11-30,2022-12-02,39.66,40.17,-12.85930408472025,Stop-loss hit
2022-12-08,2022-12-09,39.7,38.76,23.67758186397997,Take-profit hit
2022-12-15,2022-12-16,38.06,38.61,14.450867052023046,Take-profit hit
2022-12-19,2022-12-21,37.3,38.41,29.758713136729213,Take-profit hit
2022-12-22,2022-12-29,37.57,38.29,19.164226776683496,Take-profit hit
2023-01-04,2023-01-06,38.83,42.33,-90.13649240278136,Stop-loss hit
2023-01-25,2023-01-27,46.54,44.98,33.51955307262575,Take-profit hit
2023-02-02,2023-02-03,43.42,43.07,-8.06080147397516,Stop-loss hit
2023-02-08,2023-02-14,43.03,42.98,-1.1619800139438592,Take-profit hit
2023-02-15,2023-02-16,42.24,42.9,15.624999999999918,Take-profit hit
2023-02-17,2023-02-21,41.62,42.77,27.630946660259628,Take-profit hit
2023-02-22,2023-02-23,41.62,40.63,-23.786641037962397,Stop-loss hit
2023-03-01,2023-03-03,42.9,43.7,-18.64801864801875,Stop-loss hit
2023-03-09,2023-03-10,39.17,37.95,-31.146285422517202,Stop-loss hit
2023-03-29,2023-03-30,39.43,40.22,-20.035505959928965,Stop-loss hit
2023-04-11,2023-04-13,41.33,43.23,-45.97144931042823,Stop-loss hit
2023-04-13,2023-04-14,43.23,43.11,2.77585010409432,Stop-loss hit
2023-04-18,2023-04-19,42.89,41.9,23.082303567265143,Take-profit hit
2023-04-21,2023-04-24,39.58,39.49,-2.273875694795258,Stop-loss hit
2023-05-02,2023-05-05,36.59,36.55,-1.0931948619843195,Take-profit hit
2023-05-11,2023-05-15,34.44,36.05,46.747967479674784,Take-profit hit
2023-05-23,2023-05-24,34.74,33.17,-45.19286125503743,Stop-loss hit
2023-06-02,2023-06-05,37.41,37.05,9.623095429029657,Stop-loss hit
2023-06-13,2023-06-14,39.77,40.07,-7.543374402816121,Stop-loss hit
2023-06-27,2023-07-03,40.3,41.04,-18.36228287841196,Stop-loss hit
2023-07-03,2023-07-05,41.04,39.31,42.15399610136445,Take-profit hit
2023-07-06,2023-07-10,37.76,38.92,30.720338983050947,Take-profit hit
2023-07-12,2023-07-13,40.87,42.17,-31.808172253486774,Stop-loss hit
2023-07-20,2023-07-21,41.78,40.63,27.525131641933903,Take-profit hit
2023-07-24,2023-07-25,42.11,43.83,-40.84540489194963,Stop-loss hit
2023-08-04,2023-08-11,42.49,41.41,-25.417745351847618,Stop-loss hit
2023-08-11,2023-08-15,41.41,39.64,-42.743298720115824,Stop-loss hit
2023-08-24,2023-08-30,38.43,40.11,43.71584699453551,Stop-loss hit
2023-09-01,2023-09-07,41.61,39.69,46.14275414563811,Take-profit hit
2023-09-19,2023-09-20,38.79,38.74,-1.2889920082494757,Stop-loss hit
2023-10-04,2023-10-05,35.83,35.31,-14.512977951437234,Stop-loss hit
2023-10-10,2023-10-16,37.35,35.97,36.9477911646587,Take-profit hit
2023-10-19,2023-10-20,35.2,33.88,-37.50000000000001,Stop-loss hit
2023-10-25,2023-10-30,33.81,34.21,11.83081928423539,Take-profit hit
2023-11-02,2023-11-03,34.96,35.08,-3.432494279176128,Stop-loss hit
2023-11-09,2023-11-15,33.11,35.92,84.86861975234075,Stop-loss hit
