entry_index,exit_index,entry_price,exit_price,pnl,reason
2022-07-29,2022-08-03,9.17,8.63,58.887677208287805,Take-profit hit
2022-08-08,2022-08-10,9.14,9.4,-28.4463894967177,Stop-loss hit
2022-08-26,2022-08-31,9.96,9.75,21.084337349397675,Take-profit hit
2022-09-02,2022-09-06,10.05,10.86,-80.597014925373,Stop-loss hit
2022-09-15,2022-09-16,9.87,8.75,-113.47517730496448,Stop-loss hit
2022-09-23,2022-09-28,8.06,8.35,35.98014888337458,Take-profit hit
2022-10-03,2022-10-04,8.84,9.21,-41.85520361990962,Stop-loss hit
2022-10-11,2022-10-14,8.25,7.79,-55.75757575757576,Stop-loss hit
2022-10-21,2022-10-24,8.48,9.07,-69.57547169811319,Stop-loss hit
2022-11-04,2022-11-10,10.74,11.75,-94.04096834264429,Stop-loss hit
2022-11-10,2022-11-11,11.75,12.13,-32.34042553191496,Stop-loss hit
2022-11-21,2022-11-30,9.99,10.5,51.051051051051026,Take-profit hit
2022-12-02,2022-12-05,11.94,11.6,28.475711892797307,Stop-loss hit
2022-12-14,2022-12-15,12.38,12.34,3.2310177705978123,Stop-loss hit
2022-12-28,2022-12-30,11.34,12.13,69.66490299823641,Take-profit hit
2023-01-09,2023-01-10,13.6,13.75,-11.029411764705909,Stop-loss hit
2023-01-30,2023-01-31,13.39,13.25,-10.455563853622147,Stop-loss hit
2023-02-14,2023-02-15,15.18,15.01,11.198945981554674,Stop-loss hit
2023-03-01,2023-03-03,15.44,15.87,-27.84974093264247,Stop-loss hit
2023-03-03,2023-03-06,15.87,16.39,-32.76622558286083,Stop-loss hit
2023-03-09,2023-03-10,13.65,12.84,-59.34065934065937,Stop-loss hit
2023-03-22,2023-03-27,11.28,11.23,-4.432624113475083,Take-profit hit
2023-03-29,2023-03-31,11.91,12.19,-23.5096557514693,Stop-loss hit
2023-04-05,2023-04-12,10.95,11.29,31.05022831050227,Take-profit hit
2023-04-13,2023-04-17,12.25,12.54,-23.67346938775503,Stop-loss hit
2023-05-05,2023-05-09,12.17,11.76,33.68940016433855,Take-profit hit
2023-05-11,2023-05-12,11.63,13.08,124.6775580395528,Stop-loss hit
2023-05-12,2023-05-15,13.08,13.96,-67.27828746177376,Stop-loss hit
2023-05-24,2023-05-25,11.58,11.01,-49.222797927461166,Stop-loss hit
2023-06-02,2023-06-13,13.26,13.54,-21.11613876319754,Take-profit hit
2023-06-14,2023-06-15,14.28,14.49,-14.705882352941238,Stop-loss hit
2023-06-27,2023-06-29,13.51,13.98,34.7890451517395,Take-profit hit
2023-06-30,2023-07-03,13.07,13.54,35.96021423106342,Take-profit hit
2023-07-07,2023-07-10,14.69,14.94,-17.018379850238258,Stop-loss hit
2023-07-12,2023-07-13,14.82,15.66,-56.68016194331983,Stop-loss hit
2023-07-25,2023-07-27,16.3,15.95,21.472392638036894,Take-profit hit
2023-07-31,2023-08-07,16.23,16.16,4.313000616142963,Take-profit hit
2023-08-08,2023-08-14,15.63,15.99,23.03262955854123,Take-profit hit
2023-08-15,2023-08-16,15.49,15.29,-12.911555842479087,Stop-loss hit
2023-08-29,2023-08-30,16.08,16.03,3.1094527363182314,Stop-loss hit
2023-09-13,2023-09-14,15.4,13.49,-124.02597402597402,Stop-loss hit
2023-09-27,2023-09-28,12.01,11.79,-18.318068276436357,Stop-loss hit
2023-10-11,2023-10-12,10.64,10.3,-31.954887218045098,Stop-loss hit
2023-10-17,2023-10-19,11.54,10.93,52.85961871750428,Take-profit hit
2023-10-27,2023-10-30,10.58,10.1,-45.36862003780722,Stop-loss hit
2023-11-09,2023-11-14,10.09,10.41,31.714568880079316,Take-profit hit
2023-11-29,2023-11-30,10.95,11.23,-25.570776255707866,Stop-loss hit
2023-12-07,2023-12-13,10.26,10.64,37.037037037037116,Take-profit hit
2023-12-29,2024-01-02,10.2,9.97,-22.549019607843007,Stop-loss hit
2024-01-08,2024-01-09,9.85,9.66,-19.289340101522793,Stop-loss hit
2024-01-26,2024-01-30,9.2,8.67,57.60869565217384,Take-profit hit
2024-02-05,2024-02-09,8.24,8.5,31.553398058252398,Take-profit hit
2024-02-13,2024-02-14,7.87,7.63,-30.49555273189329,Stop-loss hit
2024-02-28,2024-03-04,7.42,7.8,51.21293800539082,Stop-loss hit
2024-03-04,2024-03-06,7.8,8.74,-120.51282051282057,Stop-loss hit
2024-03-06,2024-03-07,8.74,9.26,-59.496567505720776,Stop-loss hit
2024-03-13,2024-03-14,9.05,8.72,36.46408839779006,Take-profit hit
2024-03-15,2024-03-18,9.25,8.9,37.8378378378378,Take-profit hit
2024-03-27,2024-03-28,9.16,9.73,-62.22707423580789,Stop-loss hit
2024-04-16,2024-04-18,10.19,10.44,24.53385672227674,Take-profit hit
2024-04-22,2024-04-23,9.59,9.61,2.0855057351407273,Stop-loss hit
2024-04-26,2024-04-29,10.63,11.23,-56.444026340545584,Stop-loss hit
2024-05-07,2024-05-08,11.19,11.49,-26.809651474530895,Stop-loss hit
2024-05-22,2024-05-23,11.34,11.23,-9.700176366842983,Stop-loss hit
2024-05-28,2024-05-30,11.39,11.74,30.72870939420541,Take-profit hit
2024-06-04,2024-06-05,9.68,9.79,11.363636363636305,Stop-loss hit
2024-06-20,2024-07-01,9.46,9.52,6.342494714587602,Take-profit hit
2024-07-02,2024-07-03,9.74,10.17,-44.147843942505105,Stop-loss hit
2024-07-12,2024-07-15,11.46,11.94,-41.88481675392658,Stop-loss hit
2024-07-22,2024-07-31,9.98,9.98,0.0,Take-profit hit
2024-08-01,2024-08-02,9.19,8.43,-82.6985854189336,Stop-loss hit
2024-08-20,2024-08-21,6.96,7.23,38.79310344827593,Take-profit hit
2024-08-22,2024-08-27,6.99,7.26,38.62660944206002,Take-profit hit
2024-09-03,2024-09-04,6.49,6.57,12.326656394453016,Stop-loss hit
2024-09-12,2024-09-13,7.59,7.71,-15.810276679841913,Stop-loss hit
2024-09-24,2024-09-26,8.43,8.63,-23.724792408066556,Stop-loss hit
2024-10-02,2024-10-03,8.79,8.5,32.9920364050056,Take-profit hit
2024-10-07,2024-10-09,9.05,8.62,47.51381215469629,Take-profit hit
2024-10-14,2024-10-15,9.12,9.37,-27.412280701754387,Stop-loss hit
2024-11-06,2024-11-07,11.03,11.24,-19.038984587488745,Stop-loss hit
2024-11-13,2024-11-15,10.0,9.7,-30.00000000000007,Stop-loss hit
2024-11-26,2024-12-02,8.67,9.38,81.89158016147645,Take-profit hit
2024-12-04,2024-12-09,8.77,9.16,44.469783352337586,Take-profit hit
2024-12-10,2024-12-12,8.48,8.27,-24.764150943396324,Stop-loss hit
2025-01-02,2025-01-08,7.9,6.72,149.367088607595,Stop-loss hit
2025-01-13,2025-01-22,6.82,6.38,-64.51612903225812,Stop-loss hit
