entry_index,exit_index,entry_price,exit_price,pnl,reason
2022-07-26,2022-07-27,59.01,59.58,-9.659379766141337,Stop-loss hit
2022-08-08,2022-08-09,60.72,61.19,-7.740447957839244,Stop-loss hit
2022-08-15,2022-08-18,58.53,60.5,33.657953186400114,Take-profit hit
2022-08-22,2022-08-25,58.85,60.15,22.090059473236995,Take-profit hit
2022-08-30,2022-08-31,56.9,56.3,-10.544815465729375,Stop-loss hit
2022-09-12,2022-09-13,58.89,56.55,39.73509933774841,Take-profit hit
2022-09-21,2022-09-22,53.51,55.42,35.69426275462538,Take-profit hit
2022-09-23,2022-09-26,52.01,51.2,-15.573928090751686,Stop-loss hit
2022-10-03,2022-10-04,57.19,59.19,-34.971148802238154,Stop-loss hit
2022-10-14,2022-10-21,53.88,55.53,30.623608017817343,Take-profit hit
2022-10-26,2022-10-28,56.75,52.81,69.42731277533035,Stop-loss hit
2022-10-28,2022-11-01,52.81,55.01,41.65877674682817,Take-profit hit
2022-11-04,2022-11-07,51.0,58.56,148.2352941176471,Stop-loss hit
2022-11-07,2022-11-08,58.56,59.6,-17.759562841530038,Stop-loss hit
2022-11-23,2022-11-28,66.16,65.32,12.696493349455917,Take-profit hit
2022-11-29,2022-11-30,67.73,68.72,-14.616861065997266,Stop-loss hit
2022-12-16,2022-12-19,69.43,68.8,-9.073887368572802,Stop-loss hit
2022-12-29,2023-01-06,71.11,74.02,-40.922514414287676,Stop-loss hit
2023-01-20,2023-01-25,77.93,79.73,-23.097651738739856,Stop-loss hit
2023-02-02,2023-02-03,75.01,74.78,-3.066257832289081,Stop-loss hit
2023-02-10,2023-02-14,73.09,74.73,22.438090025995354,Take-profit hit
2023-02-16,2023-02-17,74.91,74.32,7.876118008276645,Take-profit hit
2023-02-21,2023-02-22,75.38,72.76,34.75723003449178,Stop-loss hit
2023-02-22,2023-02-23,72.76,71.6,-15.942825728422356,Stop-loss hit
2023-03-03,2023-03-06,75.03,72.65,31.72064507530315,Take-profit hit
2023-03-09,2023-03-10,68.2,67.54,-9.677419354838658,Stop-loss hit
2023-03-15,2023-03-16,65.66,64.66,-15.229972586049346,Stop-loss hit
2023-03-23,2023-03-27,64.66,65.08,6.495515001546578,Take-profit hit
2023-03-28,2023-03-29,66.11,66.9,-11.949780668582761,Stop-loss hit
2023-04-11,2023-04-14,69.78,68.61,16.76698194325024,Take-profit hit
2023-04-18,2023-04-19,70.36,69.28,15.349630471858987,Take-profit hit
2023-04-20,2023-04-21,67.03,64.52,-37.445919737431076,Stop-loss hit
2023-05-04,2023-05-05,61.49,63.77,37.07919986989756,Take-profit hit
2023-05-11,2023-05-15,61.35,62.84,24.286878565607203,Take-profit hit
2023-05-23,2023-05-24,60.85,59.09,-28.923582580115003,Stop-loss hit
2023-05-31,2023-06-01,59.11,60.96,31.297580781593663,Take-profit hit
2023-06-02,2023-06-05,63.27,63.05,3.477161371898308,Stop-loss hit
2023-06-13,2023-06-14,65.65,67.27,-24.676313785224526,Stop-loss hit
2023-06-23,2023-07-03,63.59,64.93,21.072495675420715,Take-profit hit
2023-07-06,2023-07-12,62.83,66.86,64.14133375775904,Stop-loss hit
2023-07-12,2023-07-13,66.86,69.08,-33.20370924319472,Stop-loss hit
2023-07-25,2023-07-26,69.95,68.01,27.734095782701896,Take-profit hit
2023-08-01,2023-08-02,65.51,63.76,-26.713478858189696,Stop-loss hit
2023-08-08,2023-08-10,63.59,61.29,-36.16920899512508,Stop-loss hit
2023-08-10,2023-08-11,61.29,61.04,-4.078968836678087,Stop-loss hit
2023-08-23,2023-08-29,61.63,62.34,-11.520363459354224,Stop-loss hit
2023-08-29,2023-08-30,62.34,62.69,-5.614372794353453,Stop-loss hit
2023-09-14,2023-09-15,66.06,65.84,3.3303057826218416,Stop-loss hit
2023-09-25,2023-09-26,63.01,62.1,-14.44215203935878,Stop-loss hit
2023-10-03,2023-10-04,61.39,60.54,-13.845903241570312,Stop-loss hit
2023-10-16,2023-10-17,64.33,64.39,-0.9326908129955274,Stop-loss hit
2023-10-20,2023-10-23,60.59,60.4,-3.135830995213811,Stop-loss hit
2023-10-30,2023-11-01,64.29,65.09,-12.443614870119724,Stop-loss hit
2023-11-03,2023-11-07,60.0,64.81,80.16666666666671,Take-profit hit
2023-11-14,2023-11-20,67.94,69.37,-21.04798351486616,Stop-loss hit
2023-12-01,2023-12-06,71.1,69.08,28.41068917018279,Take-profit hit
2023-12-07,2023-12-11,70.45,69.28,16.607523066004283,Take-profit hit
2023-12-14,2023-12-15,72.17,72.46,-4.01829014826094,Stop-loss hit
2023-12-21,2024-01-02,73.89,74.07,-2.4360535931789498,Take-profit hit
2024-01-04,2024-01-05,73.18,72.78,-5.46597430992082,Stop-loss hit
2024-01-26,2024-01-29,70.7,70.94,-3.394625176803322,Stop-loss hit
2024-02-02,2024-02-05,68.51,67.59,-13.428696540651023,Stop-loss hit
2024-02-13,2024-02-15,66.53,67.53,15.030813166992335,Take-profit hit
2024-02-16,2024-02-20,69.13,66.01,45.13235932301448,Stop-loss hit
2024-02-20,2024-02-21,66.01,65.45,-8.483563096500564,Stop-loss hit
2024-02-26,2024-02-28,64.58,63.9,-10.529575720037158,Stop-loss hit
2024-03-05,2024-03-06,63.81,64.95,17.86553831687824,Take-profit hit
2024-03-07,2024-03-08,63.79,62.63,-18.184668443329624,Stop-loss hit
2024-03-14,2024-03-19,61.88,62.75,14.059469941822842,Take-profit hit
2024-03-20,2024-03-21,63.94,64.27,-5.161088520487931,Stop-loss hit
2024-04-02,2024-04-04,65.03,63.41,24.911579271105715,Take-profit hit
2024-04-08,2024-04-09,66.1,67.11,-15.279878971255753,Stop-loss hit
