,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2022-07-28,2022-08-02,47.8,47.18,-12.970711297071077,Stop-loss hit
1,2022-08-12,2022-08-17,49.18,48.14,21.146807645384285,Take-profit hit
2,2022-08-18,2022-08-25,49.58,50.57,-19.967728922952844,Stop-loss hit
3,2022-08-30,2022-09-01,47.6,45.32,-47.89915966386557,Stop-loss hit
4,2022-09-12,2022-09-13,49.64,48.03,32.43352135374696,Take-profit hit
5,2022-09-21,2022-09-23,45.53,43.47,-45.24489347682851,Stop-loss hit
6,2022-10-03,2022-10-04,47.75,48.78,-21.570680628272275,Stop-loss hit
7,2022-10-14,2022-10-17,47.14,47.79,13.788714467543459,Take-profit hit
8,2022-10-19,2022-10-21,46.33,48.68,50.72307360241747,Stop-loss hit
9,2022-10-21,2022-10-24,48.68,45.77,59.778142974527455,Stop-loss hit
10,2022-10-24,2022-10-25,45.77,47.17,30.58772121476947,Take-profit hit
11,2022-10-26,2022-10-28,49.24,46.81,49.35012185215271,Take-profit hit
12,2022-11-01,2022-11-02,50.14,48.17,39.28998803350616,Take-profit hit
13,2022-11-04,2022-11-07,53.24,53.08,3.0052592036063808,Stop-loss hit
14,2022-11-28,2022-11-29,57.64,59.21,27.238029146426097,Take-profit hit
15,2022-11-30,2022-12-02,60.89,62.07,-19.379208408605678,Stop-loss hit
16,2022-12-08,2022-12-09,61.49,60.77,11.709221011546573,Take-profit hit
17,2022-12-15,2022-12-19,59.77,59.29,-8.030784674585979,Stop-loss hit
18,2022-12-21,2022-12-22,61.41,60.67,12.05015469793185,Take-profit hit
19,2022-12-29,2022-12-30,61.5,60.36,18.536585365853668,Take-profit hit
20,2023-01-03,2023-01-04,61.52,63.05,-24.86996098829639,Stop-loss hit
21,2023-02-01,2023-02-02,78.44,75.73,34.54869964303919,Take-profit hit
22,2023-02-10,2023-02-14,73.49,74.74,17.009116886651245,Take-profit hit
23,2023-02-16,2023-02-21,75.93,74.23,22.38904253918086,Take-profit hit
24,2023-02-22,2023-02-23,73.42,72.18,-16.88913102696806,Stop-loss hit
25,2023-03-01,2023-03-03,75.97,78.16,-28.827168619191756,Stop-loss hit
26,2023-03-03,2023-03-08,78.16,74.84,42.47697031729777,Take-profit hit
27,2023-03-10,2023-03-14,72.38,73.61,16.993644653219178,Take-profit hit
28,2023-03-15,2023-03-16,67.59,68.43,12.427873945850028,Stop-loss hit
29,2023-03-28,2023-03-29,73.6,75.58,-26.902173913043534,Stop-loss hit
30,2023-04-11,2023-04-13,77.47,80.52,-39.370078740157446,Stop-loss hit
31,2023-04-18,2023-04-20,81.71,80.24,17.990454044792546,Take-profit hit
32,2023-04-25,2023-04-26,75.38,74.85,-7.03104271690105,Stop-loss hit
33,2023-05-05,2023-05-11,79.19,69.56,121.60626341709806,Stop-loss hit
34,2023-05-16,2023-05-24,69.61,64.77,-69.53023990805924,Stop-loss hit
35,2023-06-02,2023-06-06,70.98,71.41,-6.058044519582877,Stop-loss hit
36,2023-06-13,2023-06-15,72.67,74.16,-20.50364662171453,Stop-loss hit
37,2023-06-23,2023-06-26,71.3,72.71,19.77559607293123,Take-profit hit
38,2023-06-28,2023-06-29,70.8,70.41,-5.508474576271195,Stop-loss hit
39,2023-07-06,2023-07-07,68.8,70.87,30.08720930232569,Take-profit hit
40,2023-07-12,2023-07-13,73.78,77.82,-54.757386825697914,Stop-loss hit
41,2023-07-18,2023-07-25,76.73,83.48,-87.97080672487944,Stop-loss hit
42,2023-08-11,2023-08-15,81.93,80.02,-23.312583913096677,Stop-loss hit
43,2023-08-25,2023-09-01,78.0,82.2,53.84615384615388,Stop-loss hit
44,2023-09-01,2023-09-05,82.2,79.51,32.72506082725058,Take-profit hit
45,2023-09-07,2023-09-15,78.35,79.78,18.251435864709723,Take-profit hit
46,2023-09-20,2023-09-21,77.9,76.08,-23.363286264441683,Stop-loss hit
47,2023-10-05,2023-10-06,71.73,74.14,33.5982155304614,Take-profit hit
48,2023-10-10,2023-10-11,75.23,74.23,13.292569453675394,Take-profit hit
49,2023-10-12,2023-10-16,72.11,73.28,16.225211482457382,Take-profit hit
50,2023-10-18,2023-10-19,71.32,70.55,-10.796410544026866,Stop-loss hit
51,2023-10-25,2023-10-27,69.35,71.43,29.992790194664927,Take-profit hit
52,2023-11-01,2023-11-02,71.92,73.87,-27.11345939933263,Stop-loss hit
53,2023-11-06,2023-11-07,74.22,71.26,39.88143357585548,Take-profit hit
54,2023-11-08,2023-11-14,70.34,74.3,56.297981234006166,Stop-loss hit
55,2023-11-14,2023-11-15,74.3,75.26,-12.92059219380899,Stop-loss hit
56,2023-11-20,2023-11-24,75.12,74.36,10.11714589989357,Take-profit hit
57,2023-11-27,2023-11-29,71.1,71.63,7.4542897327707625,Stop-loss hit
58,2023-12-01,2023-12-04,76.36,73.68,35.09690937663689,Take-profit hit
59,2023-12-08,2023-12-13,75.34,77.5,-28.670029200955618,Stop-loss hit
60,2023-12-13,2023-12-14,77.5,81.45,-50.96774193548391,Stop-loss hit
61,2023-12-21,2023-12-29,85.96,86.08,-1.3959981386692015,Take-profit hit
62,2024-01-05,2024-01-08,83.48,85.22,20.84331576425485,Take-profit hit
63,2024-01-10,2024-01-16,83.36,79.72,-43.66602687140116,Stop-loss hit
64,2024-02-05,2024-02-06,79.49,82.05,32.20530884387976,Take-profit hit
65,2024-02-08,2024-02-13,80.81,77.86,-36.50538299715385,Stop-loss hit
66,2024-02-13,2024-02-14,77.86,80.03,27.870536861032644,Take-profit hit
67,2024-02-15,2024-02-16,82.82,83.51,-8.331320936971892,Stop-loss hit
68,2024-02-21,2024-02-23,83.38,81.96,17.0304629407532,Take-profit hit
69,2024-02-28,2024-02-29,78.94,80.99,25.96909044844182,Take-profit hit
70,2024-03-07,2024-03-08,84.96,86.17,-14.241996233521753,Stop-loss hit
71,2024-03-20,2024-03-26,103.23,102.0,11.91514094739905,Take-profit hit
72,2024-03-28,2024-04-02,106.94,107.68,-6.919768094258548,Stop-loss hit
73,2024-04-22,2024-04-23,111.86,109.43,-21.723583050241306,Stop-loss hit
