Date,Price
2022-06-28,8390.0
2022-06-29,8395.0
2022-06-30,8243.0
2022-07-01,8020.0
2022-07-05,7606.0
2022-07-06,7608.0
2022-07-07,7869.0
2022-07-08,7782.0
2022-07-11,7602.0
2022-07-12,7297.0
2022-07-13,7367.0
2022-07-19,7278.0
2022-07-20,7330.0
2022-07-21,7292.0
2022-07-26,7542.0
2022-07-27,7628.0
2022-07-28,7734.0
2022-07-29,7898.0
2022-08-01,7810.0
2022-08-02,7763.0
2022-08-03,7692.0
2022-08-04,7728.0
2022-08-05,7863.0
2022-08-08,7927.0
2022-08-09,7946.0
2022-08-10,8059.0
2022-08-11,8169.0
2022-08-12,8097.0
2022-08-15,7976.0
2022-08-16,7994.0
2022-08-17,7918.0
2022-08-18,8015.0
2022-08-22,8038.0
2022-08-23,8117.0
2022-08-25,8118.0
2022-08-26,8124.0
2022-08-30,7849.0
2022-08-31,7788.0
2022-09-01,7565.0
2022-09-02,7542.0
2022-09-06,7639.0
2022-09-07,7599.0
2022-09-08,7818.0
2022-09-09,7838.0
2022-09-12,7972.0
2022-09-13,7828.0
2022-09-14,7774.0
2022-09-15,7707.0
2022-09-16,7786.0
2022-09-19,7749.0
2022-09-20,7700.0
2022-09-21,7649.0
2022-09-22,7665.0
2022-09-23,7435.0
2022-09-26,7293.0
2022-09-27,7266.0
2022-09-28,7453.0
2022-09-29,7537.0
2022-09-30,7495.0
2022-10-03,7501.0
2022-10-04,7664.0
2022-10-05,7704.0
2022-10-06,7561.0
2022-10-07,7450.0
2022-10-10,7549.0
2022-10-11,7576.0
2022-10-12,7535.0
2022-10-13,7614.0
2022-10-14,7500.0
2022-10-17,7511.0
2022-10-18,7436.0
2022-10-19,7355.0
2022-10-20,7507.0
2022-10-21,7633.0
2022-10-24,7556.0
2022-10-25,7501.0
2022-10-26,7751.0
2022-10-28,7545.0
2022-10-31,7439.0
2022-11-01,7639.0
2022-11-02,7692.0
2022-11-04,8100.0
2022-11-07,7947.0
2022-11-08,8043.0
2022-11-09,8076.0
2022-11-10,8260.0
2022-11-11,8571.0
2022-11-14,8394.0
2022-11-15,8350.0
2022-11-16,8258.0
2022-11-17,8108.0
2022-11-18,8039.0
2022-11-21,7908.0
2022-11-22,7999.0
2022-11-23,8016.0
2022-11-25,7975.0
2022-11-28,7959.0
2022-11-29,8018.0
2022-11-30,8219.0
2022-12-02,8455.0
2022-12-05,8349.0
