,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2024-06-20,2024-06-24,23.79,24.03,-10.088272383354434,Stop-loss hit
1,2024-07-16,2024-07-17,29.68,28.98,23.584905660377334,Take-profit hit
2,2024-07-19,2024-07-23,28.23,27.96,-9.56429330499467,Stop-loss hit
3,2024-08-05,2024-08-08,26.59,29.79,120.34599473486271,Stop-loss hit
4,2024-08-08,2024-08-09,29.79,29.68,3.6925142665323745,Stop-loss hit
5,2024-08-16,2024-08-22,31.46,30.91,17.482517482517505,Take-profit hit
6,2024-08-28,2024-08-30,29.94,29.63,-10.35404141616574,Stop-loss hit
7,2024-08-30,2024-09-03,29.63,28.69,-31.724603442456893,Stop-loss hit
8,2024-09-06,2024-09-10,28.57,27.33,-43.402170108505494,Stop-loss hit
9,2024-09-10,2024-09-11,27.33,27.21,-4.390779363336899,Stop-loss hit
10,2024-09-18,2024-09-20,27.41,27.94,19.336008755928535,Take-profit hit
11,2024-09-23,2024-09-24,28.57,28.79,-7.700385019250923,Stop-loss hit
12,2024-09-26,2024-09-30,29.08,26.59,85.62585969738647,Stop-loss hit
13,2024-09-30,2024-10-03,26.59,26.23,-13.538924407672036,Stop-loss hit
14,2024-10-11,2024-10-15,27.33,27.58,-9.147457006952068,Stop-loss hit
15,2024-10-30,2024-10-31,28.69,27.91,-27.18717323109101,Stop-loss hit
16,2024-11-11,2024-11-12,25.33,24.64,-27.24042637189095,Stop-loss hit
17,2024-11-22,2024-11-27,25.99,24.69,50.01923816852626,Take-profit hit
18,2024-12-03,2024-12-11,25.72,27.1,-53.6547433903578,Stop-loss hit
19,2024-12-11,2024-12-12,27.1,25.86,45.75645756457572,Take-profit hit
20,2024-12-16,2024-12-17,24.49,24.09,-16.333197223356414,Stop-loss hit
21,2024-12-30,2025-01-06,22.95,23.6,28.322440087146063,Take-profit hit
22,2025-01-07,2025-01-08,24.3,25.12,-33.744855967078195,Stop-loss hit
23,2025-01-28,2025-01-30,28.2,29.77,-55.67375886524824,Stop-loss hit
