,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2024-06-20,2024-06-25,5.88,5.5,64.62585034013604,Take-profit hit
1,2024-07-01,2024-07-02,5.44,5.57,23.89705882352939,Take-profit hit
2,2024-07-03,2024-07-05,6.01,6.36,-58.23627287853586,Stop-loss hit
3,2024-07-16,2024-07-17,6.76,6.59,25.14792899408283,Take-profit hit
4,2024-07-25,2024-07-30,6.25,6.29,6.400000000000006,Take-profit hit
5,2024-07-31,2024-08-01,6.52,5.96,85.88957055214718,Stop-loss hit
6,2024-08-01,2024-08-02,5.96,5.45,-85.57046979865768,Stop-loss hit
7,2024-08-15,2024-08-16,5.88,6.08,-34.0136054421769,Stop-loss hit
8,2024-08-30,2024-09-03,6.09,5.44,-106.73234811165837,Stop-loss hit
9,2024-09-12,2024-09-13,6.91,7.24,-47.75687409551375,Stop-loss hit
10,2024-09-24,2024-09-26,7.54,7.51,3.9787798408488393,Stop-loss hit
11,2024-10-04,2024-10-07,6.41,6.16,-39.0015600624025,Stop-loss hit
12,2024-10-17,2024-10-18,6.51,7.12,-93.70199692780344,Stop-loss hit
13,2024-10-31,2024-11-01,6.41,6.15,-40.56162246489856,Stop-loss hit
14,2024-11-18,2024-11-20,6.52,6.5,3.067484662576622,Take-profit hit
15,2024-12-02,2024-12-03,6.22,6.71,78.77813504823155,Stop-loss hit
16,2024-12-03,2024-12-05,6.71,6.76,-7.451564828613983,Stop-loss hit
17,2024-12-09,2024-12-11,7.1,7.32,-30.98591549295784,Stop-loss hit
18,2024-12-16,2024-12-18,6.29,5.79,-79.4912559618442,Stop-loss hit
19,2024-12-30,2025-01-06,5.64,6.12,85.10638297872349,Stop-loss hit
20,2025-01-08,2025-01-13,6.39,5.94,70.4225352112675,Take-profit hit
21,2025-01-15,2025-01-16,6.43,6.21,34.21461897356139,Take-profit hit
22,2025-01-27,2025-01-28,6.01,6.3,48.252911813643934,Take-profit hit
23,2025-01-29,2025-01-30,6.4,6.88,-74.99999999999993,Stop-loss hit
