entry_index,exit_index,entry_price,exit_price,pnl,reason
2024-06-24,2024-06-26,50.53,49.23,25.727290718385202,Take-profit hit
2024-07-03,2024-07-05,50.79,51.63,-16.53868871825169,Stop-loss hit
2024-07-10,2024-07-15,51.49,50.37,21.751796465333165,Take-profit hit
2024-07-17,2024-07-18,48.44,45.74,-55.739058629231955,Stop-loss hit
2024-07-30,2024-08-01,43.87,43.37,-11.397310234784591,Stop-loss hit
2024-08-01,2024-08-02,43.37,41.7,-38.50587964030424,Stop-loss hit
2024-08-15,2024-08-16,43.74,43.49,5.715592135345221,Stop-loss hit
2024-08-23,2024-08-27,44.66,45.24,-12.98701298701311,Stop-loss hit
2024-09-03,2024-09-04,41.24,41.52,6.789524733268698,Stop-loss hit
2024-09-13,2024-09-18,42.77,44.02,-29.226093055880288,Stop-loss hit
2024-10-08,2024-10-10,48.46,49.48,21.048287247214116,Take-profit hit
2024-10-14,2024-10-15,48.88,47.19,-34.574468085106474,Stop-loss hit
2024-10-24,2024-10-30,46.99,45.93,-22.557991061928117,Stop-loss hit
2024-11-06,2024-11-07,47.02,48.6,-33.60272224585279,Stop-loss hit
2024-11-11,2024-11-12,44.95,43.45,-33.37041156840934,Stop-loss hit
2024-11-25,2024-11-26,44.31,43.36,21.439855563078375,Take-profit hit
2024-11-29,2024-12-02,44.33,43.57,17.144146176404195,Take-profit hit
2024-12-04,2024-12-05,42.98,42.73,-5.816658911121452,Stop-loss hit
2024-12-12,2024-12-13,42.03,41.64,-9.279086366880813,Stop-loss hit
2024-12-30,2025-01-06,38.12,38.7,15.215110178384194,Take-profit hit
2025-01-08,2025-01-15,39.7,40.13,-10.831234256926946,Stop-loss hit
2025-01-15,2025-01-22,40.13,39.24,22.17792175429854,Take-profit hit
2025-01-23,2025-01-24,38.45,37.62,-21.586475942782975,Stop-loss hit
