entry_index,exit_index,entry_price,exit_price,pnl,reason
2024-06-27,2024-07-01,15.36,14.88,31.249999999999915,Take-profit hit
2024-07-03,2024-07-05,15.34,15.9,-36.505867014341625,Stop-loss hit
2024-07-10,2024-07-11,15.9,16.23,-20.754716981132077,Stop-loss hit
2024-07-16,2024-07-17,16.85,17.08,-13.649851632047291,Stop-loss hit
2024-07-31,2024-08-06,17.26,16.48,45.19119351100817,Take-profit hit
2024-08-07,2024-08-08,16.09,15.53,-34.80422622747051,Stop-loss hit
2024-08-16,2024-08-19,16.73,17.06,-19.72504482964724,Stop-loss hit
2024-08-23,2024-08-27,14.53,14.3,-15.829318651066668,Stop-loss hit
2024-09-06,2024-09-13,13.37,14.17,59.83545250560963,Stop-loss hit
2024-10-01,2024-10-03,16.3,15.57,44.785276073619656,Take-profit hit
2024-10-07,2024-10-09,15.3,15.03,-17.6470588235295,Stop-loss hit
2024-10-16,2024-10-17,16.42,17.22,-48.72107186358082,Stop-loss hit
2024-10-30,2024-10-31,17.14,16.53,-35.58926487747955,Stop-loss hit
2024-11-06,2024-11-11,15.8,14.53,-80.37974683544311,Stop-loss hit
2024-11-22,2024-11-25,15.28,14.74,35.340314136125606,Take-profit hit
2024-12-02,2024-12-06,14.15,13.86,-20.494699646643177,Stop-loss hit
2024-12-11,2024-12-13,14.91,14.34,38.22937625754529,Take-profit hit
2024-12-17,2024-12-18,13.88,13.58,-21.613832853025986,Stop-loss hit
2024-12-23,2025-01-02,13.39,14.01,46.303211351754975,Stop-loss hit
2025-01-02,2025-01-03,14.01,13.99,1.4275517487508618,Stop-loss hit
2025-01-28,2025-01-30,16.44,17.31,-52.91970802919692,Stop-loss hit
