entry_index,exit_index,entry_price,exit_price,pnl,reason
2024-07-01,2024-07-05,2.28,2.55,118.42105263157896,Stop-loss hit
2024-07-09,2024-07-10,2.53,2.62,-35.57312252964439,Stop-loss hit
2024-07-30,2024-08-01,2.52,2.44,-31.746031746031772,Stop-loss hit
2024-08-01,2024-08-02,2.44,2.4,-16.393442622950836,Stop-loss hit
2024-08-16,2024-08-19,2.26,2.39,-57.522123893805464,Stop-loss hit
2024-08-28,2024-08-30,2.18,2.13,-22.935779816513882,Stop-loss hit
2024-09-06,2024-09-09,2.01,2.08,34.82587064676631,Take-profit hit
2024-09-10,2024-09-11,1.99,2.03,20.10050251256272,Take-profit hit
2024-09-12,2024-09-13,2.25,2.58,-146.6666666666667,Stop-loss hit
2024-09-27,2024-10-02,2.47,2.52,20.24291497975701,Take-profit hit
2024-10-04,2024-10-07,2.4,2.34,-25.000000000000025,Stop-loss hit
2024-10-16,2024-10-18,2.31,2.61,129.8701298701298,Stop-loss hit
2024-10-30,2024-11-08,2.48,2.18,-120.9677419354838,Stop-loss hit
2024-11-13,2024-11-14,2.49,2.66,-68.27309236947788,Stop-loss hit
2024-11-26,2024-12-02,2.31,2.25,-25.974025974026,Stop-loss hit
2024-12-04,2024-12-05,2.25,2.21,-17.777777777777793,Stop-loss hit
2024-12-11,2024-12-12,2.37,2.3,29.53586497890307,Take-profit hit
2024-12-13,2024-12-16,2.2,2.14,-27.272727272727295,Stop-loss hit
2024-12-18,2024-12-19,2.03,2.02,-4.926108374384132,Stop-loss hit
2024-12-30,2025-01-02,2.26,2.25,4.424778761061853,Stop-loss hit
2025-01-13,2025-01-16,2.01,2.09,39.80099502487566,Take-profit hit
2025-01-29,2025-01-30,2.06,2.39,160.1941747572816,Stop-loss hit
