entry_index,exit_index,entry_price,exit_price,pnl,reason
2024-06-18,2024-06-20,41.91,42.96,-25.05368647100941,Stop-loss hit
2024-07-03,2024-07-05,43.56,44.61,-24.10468319559222,Stop-loss hit
2024-07-10,2024-07-11,45.45,47.1,-36.30363036303627,Stop-loss hit
2024-07-25,2024-07-29,45.81,47.16,29.469548133595158,Take-profit hit
2024-07-31,2024-08-01,49.24,49.47,-4.670999187652251,Stop-loss hit
2024-08-14,2024-08-16,49.11,50.24,-23.009570352270465,Stop-loss hit
2024-08-23,2024-08-28,52.01,51.71,5.768121515093197,Take-profit hit
2024-08-29,2024-09-03,53.05,52.02,19.41564561734202,Take-profit hit
2024-09-06,2024-09-13,50.24,53.75,69.86464968152862,Stop-loss hit
2024-09-20,2024-09-24,54.22,56.01,-33.01364810033197,Stop-loss hit
2024-10-03,2024-10-10,53.09,53.44,6.592578640045098,Take-profit hit
2024-10-11,2024-10-14,54.22,54.74,-9.590556990040634,Stop-loss hit
2024-10-24,2024-10-25,49.09,48.61,-9.777958851089917,Stop-loss hit
2024-11-06,2024-11-11,44.42,42.54,-42.32327780279159,Stop-loss hit
2024-11-11,2024-11-12,42.54,41.57,-22.80206864127877,Stop-loss hit
2024-11-22,2024-11-25,43.41,42.33,24.879060124395263,Take-profit hit
2024-12-02,2024-12-09,40.87,41.82,23.244433569855712,Take-profit hit
2024-12-11,2024-12-13,42.31,40.32,47.033798156464236,Stop-loss hit
2024-12-13,2024-12-16,40.32,39.97,-8.68055555555559,Stop-loss hit
2024-12-30,2025-01-02,37.11,38.37,33.95311236863374,Take-profit hit
2025-01-08,2025-01-10,38.95,38.91,1.026957637997593,Stop-loss hit
