,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2024-06-21,2024-06-25,124.41,122.85,12.539184952978076,Take-profit hit
1,2024-06-27,2024-06-28,125.79,124.47,10.493679942761803,Take-profit hit
2,2024-07-02,2024-07-03,125.77,130.13,-34.66645463942116,Stop-loss hit
3,2024-07-25,2024-07-26,135.85,135.51,-2.5027603974972648,Stop-loss hit
4,2024-07-31,2024-08-01,138.77,137.08,12.178424731570207,Take-profit hit
5,2024-08-02,2024-08-05,134.32,128.6,-42.58487194758784,Stop-loss hit
6,2024-08-16,2024-08-19,136.04,138.08,-14.995589532490596,Stop-loss hit
7,2024-09-03,2024-09-04,134.71,136.16,10.763863113354528,Stop-loss hit
8,2024-09-06,2024-09-11,134.0,136.23,16.641791044776042,Take-profit hit
9,2024-09-12,2024-09-13,141.07,142.63,-11.058339831289448,Stop-loss hit
10,2024-09-20,2024-09-24,142.92,147.35,-30.996361600895657,Stop-loss hit
11,2024-09-30,2024-10-02,139.57,141.77,15.762699720570446,Take-profit hit
12,2024-10-03,2024-10-07,139.43,136.78,-19.005952807860613,Stop-loss hit
13,2024-10-11,2024-10-15,141.99,145.11,-21.9733784069301,Stop-loss hit
14,2024-10-31,2024-11-01,146.44,145.51,-6.3507238459437785,Stop-loss hit
15,2024-11-06,2024-11-07,143.96,146.85,20.075020839121883,Take-profit hit
16,2024-11-11,2024-11-12,144.15,141.1,-21.15851543531052,Stop-loss hit
17,2024-11-20,2024-11-25,148.14,145.16,20.116106385851154,Take-profit hit
18,2024-12-03,2024-12-04,148.92,147.4,10.206822455009279,Take-profit hit
19,2024-12-06,2024-12-11,144.2,153.75,66.2274618585299,Stop-loss hit
20,2024-12-11,2024-12-18,153.75,135.79,116.81300813008134,Stop-loss hit
21,2025-01-08,2025-01-10,135.91,133.83,15.304245456552014,Take-profit hit
22,2025-01-14,2025-01-15,135.16,136.58,-10.506066883693519,Stop-loss hit
