Date,Price
2024-06-04,2326.77
2024-06-05,2355.0
2024-06-06,2375.87
2024-06-07,2288.25
2024-06-10,2310.71
2024-06-11,2316.36
2024-06-12,2324.52
2024-06-13,2303.66
2024-06-14,2332.33
2024-06-17,2318.85
2024-06-18,2329.14
2024-06-20,2359.76
2024-06-21,2322.02
2024-06-24,2334.18
2024-06-25,2319.15
2024-06-26,2297.88
2024-06-27,2327.6
2024-06-28,2324.92
2024-07-01,2331.64
2024-07-02,2329.3
2024-07-03,2355.73
2024-07-05,2388.65
2024-07-08,2358.26
2024-07-09,2363.71
2024-07-10,2370.82
2024-07-11,2415.3
2024-07-12,2412.68
2024-07-15,2422.17
2024-07-16,2468.88
2024-07-17,2458.5
2024-07-18,2445.11
2024-07-19,2398.54
2024-07-22,2396.4
2024-07-23,2409.14
2024-07-24,2397.64
2024-07-25,2363.85
2024-07-26,2386.22
2024-07-29,2384.1
2024-07-30,2410.52
2024-07-31,2447.06
2024-08-01,2446.02
2024-08-02,2437.28
2024-08-05,2409.71
2024-08-06,2389.68
2024-08-07,2382.37
2024-08-08,2426.81
2024-08-09,2428.93
2024-08-12,2471.95
2024-08-13,2464.82
2024-08-14,2447.58
2024-08-15,2455.98
2024-08-16,2507.8
2024-08-19,2503.67
2024-08-20,2513.49
2024-08-21,2511.89
2024-08-22,2484.31
2024-08-23,2510.68
2024-08-27,2524.38
2024-08-28,2503.98
2024-08-29,2520.92
2024-08-30,2502.18
2024-09-03,2492.3
2024-09-04,2494.82
2024-09-05,2516.43
2024-09-06,2495.82
2024-09-09,2505.96
2024-09-10,2516.31
2024-09-11,2511.38
2024-09-12,2558.33
2024-09-13,2582.56
2024-09-16,2582.2
2024-09-17,2569.02
2024-09-18,2558.52
2024-09-19,2586.31
2024-09-20,2621.0
2024-09-23,2628.26
2024-09-24,2656.89
2024-09-25,2656.75
2024-09-26,2672.04
2024-09-27,2651.93
2024-09-30,2633.94
2024-10-01,2662.98
2024-10-02,2657.63
2024-10-03,2654.94
2024-10-04,2651.47
2024-10-07,2642.19
2024-10-08,2620.92
2024-10-09,2607.04
2024-10-10,2629.32
2024-10-11,2655.99
2024-10-14,2648.61
2024-10-15,2662.2
2024-10-16,2673.63
2024-10-17,2692.57
2024-10-18,2719.57
2024-10-21,2719.29
2024-10-22,2748.59
2024-10-23,2715.04
2024-10-24,2735.88
2024-10-25,2742.37
2024-10-28,2741.98
2024-10-29,2774.41
2024-10-30,2787.36
2024-10-31,2746.07
2024-11-01,2735.57
2024-11-04,2736.17
2024-11-05,2743.59
2024-11-06,2658.9
2024-11-07,2705.77
2024-11-08,2684.9
2024-11-11,2618.91
2024-11-12,2597.82
2024-11-13,2572.3
2024-11-14,2564.28
2024-11-15,2562.07
2024-11-18,2611.47
2024-11-19,2631.36
2024-11-20,2650.15
2024-11-21,2669.2
2024-11-22,2705.73
2024-11-25,2624.75
2024-11-26,2632.61
2024-11-27,2635.52
2024-11-29,2650.21
2024-12-02,2638.64
2024-12-03,2643.25
2024-12-04,2649.48
2024-12-05,2631.57
2024-12-06,2631.85
2024-12-09,2660.0
2024-12-10,2693.61
2024-12-11,2717.45
2024-12-12,2680.75
2024-12-13,2647.74
2024-12-16,2652.04
2024-12-17,2646.09
2024-12-18,2584.53
2024-12-19,2593.85
2024-12-20,2622.72
2024-12-23,2612.6
2024-12-24,2616.92
2024-12-27,2615.23
2024-12-30,2605.84
2024-12-31,2623.07
2025-01-02,2657.11
2025-01-03,2638.0
2025-01-06,2635.57
2025-01-07,2648.62
2025-01-08,2661.42
2025-01-10,2690.59
2025-01-13,2662.48
2025-01-14,2676.72
2025-01-15,2696.87
2025-01-16,2714.38
2025-01-17,2700.62
2025-01-21,2744.23
2025-01-22,2756.02
2025-01-23,2754.4
2025-01-24,2770.92
2025-01-27,2740.44
2025-01-28,2762.99
2025-01-29,2759.18
2025-01-30,2795.1
