entry_index,exit_index,entry_price,exit_price,pnl,reason
2018-06-07,2018-06-13,7.47,7.77,-40.160642570281105,Stop-loss hit
2018-06-13,2018-06-20,7.77,7.36,52.767052767052675,Take-profit hit
2018-06-22,2018-06-25,7.65,7.47,23.52941176470596,Take-profit hit
2018-07-03,2018-07-09,8.0,8.04,-4.999999999999893,Stop-loss hit
2018-07-17,2018-07-18,6.78,6.85,10.32448377581112,Stop-loss hit
2018-08-07,2018-08-08,6.39,6.35,-6.259780907668238,Stop-loss hit
2018-08-13,2018-08-15,5.49,5.14,-63.752276867031064,Stop-loss hit
2018-09-13,2018-09-17,5.54,5.67,-23.465703971119115,Stop-loss hit
2018-09-17,2018-09-19,5.67,5.88,-37.03703703703703,Stop-loss hit
2018-09-27,2018-09-28,5.51,5.68,30.85299455535389,Take-profit hit
2018-10-08,2018-10-09,5.79,5.69,17.271157167530163,Take-profit hit
2018-10-12,2018-10-15,6.16,6.3,-22.727272727272673,Stop-loss hit
2018-10-25,2018-10-30,5.7,5.69,-1.754385964912243,Stop-loss hit
2018-11-07,2018-11-12,5.5,5.09,-74.54545454545458,Stop-loss hit
2018-11-21,2018-11-26,5.56,4.86,125.89928057553946,Stop-loss hit
2018-11-26,2018-11-27,4.86,4.78,-16.460905349794253,Stop-loss hit
2018-11-30,2018-12-04,4.75,4.93,37.8947368421052,Take-profit hit
2018-12-12,2018-12-17,5.31,5.49,-33.89830508474588,Stop-loss hit
2018-12-17,2018-12-18,5.49,5.71,-40.07285974499085,Stop-loss hit
2019-01-02,2019-01-03,6.03,6.31,-46.43449419568812,Stop-loss hit
2019-01-15,2019-01-16,5.38,5.24,-26.022304832713694,Stop-loss hit
2019-01-31,2019-02-07,6.07,5.87,32.94892915980233,Take-profit hit
2019-02-13,2019-02-14,5.92,5.98,10.13513513513522,Take-profit hit
2019-02-19,2019-02-20,6.59,6.66,-10.622154779969694,Stop-loss hit
2019-03-04,2019-03-08,6.36,6.64,44.025157232704295,Take-profit hit
2019-03-13,2019-03-14,6.97,6.64,47.345767575322824,Take-profit hit
2019-03-20,2019-03-25,6.92,7.14,-31.791907514450834,Stop-loss hit
2019-03-25,2019-03-27,7.14,6.9,33.61344537815117,Take-profit hit
2019-03-28,2019-04-01,6.58,6.27,-47.1124620060791,Stop-loss hit
2019-04-11,2019-04-16,6.25,6.08,-27.19999999999999,Stop-loss hit
2019-04-16,2019-04-17,6.08,6.02,-9.86842105263166,Stop-loss hit
2019-04-26,2019-04-29,6.31,6.05,41.204437400950845,Take-profit hit
2019-05-02,2019-05-07,5.74,6.0,45.29616724738672,Take-profit hit
2019-05-16,2019-05-17,5.78,5.87,15.57093425605534,Take-profit hit
2019-05-21,2019-05-22,5.76,5.56,-34.72222222222226,Stop-loss hit
2019-05-31,2019-06-03,6.08,6.42,-55.92105263157892,Stop-loss hit
2019-06-12,2019-06-17,6.55,6.71,-24.427480916030557,Stop-loss hit
2019-07-10,2019-07-12,8.11,7.82,35.75832305795304,Take-profit hit
2019-07-16,2019-07-17,8.56,9.3,-86.44859813084115,Stop-loss hit
2019-07-31,2019-08-01,9.39,9.83,46.85835995740143,Take-profit hit
2019-08-02,2019-08-05,9.56,9.98,43.933054393305426,Take-profit hit
2019-08-07,2019-08-08,10.4,10.75,-33.65384615384612,Stop-loss hit
2019-08-16,2019-08-20,9.9,10.5,60.60606060606057,Take-profit hit
2019-08-23,2019-08-27,10.99,11.23,-21.8380345768881,Stop-loss hit
2019-09-03,2019-09-06,11.28,9.9,122.34042553191482,Stop-loss hit
2019-09-13,2019-09-17,9.34,9.76,44.9678800856531,Take-profit hit
2019-09-23,2019-09-24,10.53,10.55,-1.8993352326686943,Stop-loss hit
2019-09-30,2019-10-04,9.07,9.65,63.94707828004411,Take-profit hit
2019-10-11,2019-10-14,9.23,9.42,20.585048754062782,Take-profit hit
2019-10-15,2019-10-16,9.19,9.88,75.08161044613725,Stop-loss hit
2019-10-16,2019-10-17,9.88,10.32,-44.534412955465534,Stop-loss hit
