entry_index,exit_index,entry_price,exit_price,pnl,reason
2018-06-08,2018-06-13,1.2901,1.33,30.927835051546424,Take-profit hit
2018-06-18,2018-06-20,1.28,1.22,-46.87500000000004,Stop-loss hit
2018-06-25,2018-07-02,1.24,1.274,27.419354838709705,Take-profit hit
2018-07-16,2018-07-17,1.18,1.16,-16.949152542372897,Stop-loss hit
2018-07-25,2018-08-02,1.12,1.09,-26.785714285714306,Stop-loss hit
2018-08-02,2018-08-08,1.09,1.12,27.52293577981654,Take-profit hit
2018-08-10,2018-08-13,0.9949,0.9861,-8.845110061312726,Stop-loss hit
2018-09-06,2018-09-11,0.88,0.8999,22.613636363636395,Take-profit hit
2018-09-19,2018-09-20,0.8556,0.788,-79.00888265544646,Stop-loss hit
2018-10-12,2018-10-16,0.6798,0.6707,13.386290085319207,Take-profit hit
2018-10-24,2018-10-30,0.616,0.58,-58.4415584415585,Stop-loss hit
2018-11-07,2018-11-09,0.6479,0.6199,43.2165457632351,Take-profit hit
2018-11-16,2018-11-21,0.577,0.59,22.5303292894281,Take-profit hit
2018-11-26,2018-11-28,0.5525,0.546,-11.764705882352851,Stop-loss hit
2018-12-03,2018-12-07,0.5424,0.53,-22.86135693215333,Stop-loss hit
2018-12-07,2018-12-11,0.53,0.5101,-37.547169811320806,Stop-loss hit
2018-12-19,2018-12-27,0.5,0.54,80.00000000000007,Take-profit hit
2018-12-28,2018-12-31,0.59,0.61,-33.89830508474579,Stop-loss hit
2019-01-16,2019-01-22,0.6201,0.59,-48.54055797452027,Stop-loss hit
2019-02-01,2019-02-04,0.62,0.64,-32.25806451612906,Stop-loss hit
2019-02-12,2019-02-13,0.65,0.63,30.769230769230795,Take-profit hit
2019-02-14,2019-02-19,0.6,0.71,183.33333333333331,Stop-loss hit
2019-02-19,2019-02-22,0.71,0.71,0.0,Stop-loss hit
2019-02-22,2019-02-25,0.71,0.72,-14.084507042253534,Stop-loss hit
2019-03-01,2019-03-04,0.63,0.62,-15.873015873015886,Stop-loss hit
2019-03-28,2019-04-02,0.6,0.58,-33.333333333333364,Stop-loss hit
2019-04-02,2019-04-03,0.58,0.58,0.0,Stop-loss hit
2019-04-05,2019-04-09,0.57,0.59,35.087719298245645,Take-profit hit
2019-04-12,2019-04-15,0.56,0.54,-35.714285714285744,Stop-loss hit
2019-05-02,2019-05-03,0.5,0.52,40.000000000000036,Take-profit hit
2019-05-09,2019-05-10,0.46,0.46,0.0,Stop-loss hit
2019-05-16,2019-05-17,0.45,0.43,-44.444444444444485,Stop-loss hit
2019-06-03,2019-06-04,0.5,0.48,40.000000000000036,Stop-loss hit
2019-06-17,2019-06-19,0.48,0.47,-20.833333333333353,Stop-loss hit
2019-06-21,2019-06-24,0.53,0.55,-37.735849056603804,Stop-loss hit
2019-07-03,2019-07-08,0.59,0.56,50.84745762711851,Take-profit hit
2019-07-11,2019-07-12,0.53,0.52,-18.867924528301902,Stop-loss hit
2019-07-16,2019-07-17,0.59,0.62,-50.84745762711869,Stop-loss hit
2019-08-01,2019-08-07,0.68,0.73,73.52941176470578,Take-profit hit
2019-08-12,2019-08-13,0.68,0.65,-44.117647058823565,Stop-loss hit
2019-08-21,2019-08-23,0.61,0.65,65.57377049180334,Take-profit hit
2019-08-27,2019-08-30,0.67,0.65,29.850746268656742,Take-profit hit
2019-09-03,2019-09-04,0.67,0.69,-29.85074626865658,Stop-loss hit
2019-09-06,2019-09-09,0.62,0.59,-48.387096774193594,Stop-loss hit
2019-09-23,2019-09-25,0.65,0.62,46.15384615384619,Take-profit hit
2019-09-30,2019-10-01,0.58,0.58,0.0,Stop-loss hit
2019-10-04,2019-10-11,0.56,0.54,-35.714285714285744,Stop-loss hit
2019-10-11,2019-10-14,0.54,0.54,0.0,Stop-loss hit
2019-10-21,2019-10-23,0.49,0.51,40.81632653061228,Take-profit hit
2019-10-25,2019-10-28,0.55,0.57,-36.36363636363619,Stop-loss hit
2019-11-05,2019-11-07,0.5,0.49,-20.000000000000018,Stop-loss hit
2019-11-19,2019-11-20,0.53,0.53,0.0,Stop-loss hit
2019-12-03,2019-12-04,0.55,0.56,-18.181818181818198,Stop-loss hit
2019-12-12,2019-12-13,0.51,0.53,39.215686274509835,Take-profit hit
2019-12-20,2019-12-23,0.5,0.52,40.000000000000036,Take-profit hit
2019-12-24,2019-12-27,0.54,0.56,-37.03703703703707,Stop-loss hit
2020-01-09,2020-01-14,0.55,0.53,-36.363636363636395,Stop-loss hit
2020-01-16,2020-01-27,0.52,0.53,19.230769230769248,Take-profit hit
2020-01-29,2020-01-30,0.51,0.52,19.607843137254918,Take-profit hit
2020-01-31,2020-02-04,0.54,0.52,37.03703703703707,Take-profit hit
2020-02-10,2020-02-11,0.51,0.5,-19.607843137254918,Stop-loss hit
2020-02-18,2020-02-20,0.55,0.52,54.54545454545459,Take-profit hit
2020-02-25,2020-02-27,0.49,0.44,-102.04081632653059,Stop-loss hit
2020-03-09,2020-03-11,0.4,0.34,-150.0,Stop-loss hit
2020-03-24,2020-03-25,0.37,0.36,27.027027027027053,Stop-loss hit
2020-04-03,2020-04-06,0.3,0.33,100.0000000000001,Take-profit hit
2020-04-09,2020-04-14,0.36,0.41,-138.88888888888886,Stop-loss hit
2020-04-22,2020-04-27,0.4171,0.4115,13.426036921601652,Take-profit hit
2020-04-30,2020-05-05,0.3942,0.39,-10.654490106544854,Stop-loss hit
2020-05-05,2020-05-07,0.39,0.4047,37.692307692307665,Take-profit hit
2020-05-13,2020-05-14,0.38,0.3986,48.947368421052644,Take-profit hit
2020-05-15,2020-05-18,0.4906,0.5462,-113.33061557276812,Stop-loss hit
2020-05-29,2020-06-01,0.6858,0.7877,-148.58559346748322,Stop-loss hit
2020-06-11,2020-06-12,0.5941,0.5902,-6.5645514223195,Stop-loss hit
2020-06-23,2020-06-29,0.68,0.7228,-62.941176470588154,Stop-loss hit
2020-06-29,2020-06-30,0.7228,0.7951,-100.02767017155512,Stop-loss hit
2020-07-14,2020-07-17,0.7385,0.732,-8.801624915369073,Stop-loss hit
2020-07-21,2020-07-22,0.896,1.0,-116.07142857142854,Stop-loss hit
2020-08-04,2020-08-05,1.21,1.35,-115.70247933884308,Stop-loss hit
2020-08-24,2020-08-25,1.1,1.08,-18.181818181818198,Stop-loss hit
2020-09-08,2020-09-16,1.09,1.11,18.348623853211024,Take-profit hit
2020-09-22,2020-09-24,1.03,1.01,-19.417475728155356,Stop-loss hit
2020-09-30,2020-10-06,1.0,0.9373,-62.699999999999974,Stop-loss hit
2020-10-06,2020-10-08,0.9373,0.9741,39.26170916462173,Take-profit hit
2020-10-09,2020-10-13,1.06,1.08,-18.867924528301902,Stop-loss hit
2020-10-22,2020-10-26,1.0,0.9518,-48.20000000000002,Stop-loss hit
2020-11-05,2020-11-06,1.1,1.1,0.0,Stop-loss hit
2020-11-18,2020-11-20,0.9504,0.9701,20.728114478114414,Take-profit hit
