entry_index,exit_index,entry_price,exit_price,pnl,reason
2018-05-31,2018-06-06,2.81,2.85,14.234875444839869,Take-profit hit
2018-06-08,2018-06-13,2.81,3.24,153.0249110320285,Stop-loss hit
2018-06-13,2018-06-18,3.24,3.23,3.086419753086491,Stop-loss hit
2018-07-09,2018-07-10,3.31,3.13,54.38066465256802,Take-profit hit
2018-07-11,2018-07-16,2.97,2.9,-23.569023569023663,Stop-loss hit
2018-08-02,2018-08-03,2.53,2.58,19.762845849802478,Stop-loss hit
2018-08-13,2018-08-15,2.31,2.21,-43.29004329004333,Stop-loss hit
2018-09-17,2018-09-19,2.28,2.3,-8.771929824561411,Stop-loss hit
2018-09-28,2018-10-02,2.31,2.35,-17.316017316017334,Stop-loss hit
2018-10-02,2018-10-03,2.35,2.28,29.78723404255331,Take-profit hit
2018-10-09,2018-10-11,2.24,2.48,107.14285714285703,Stop-loss hit
2018-10-11,2018-10-15,2.48,2.47,4.032258064516044,Stop-loss hit
2018-10-23,2018-10-24,2.29,2.22,-30.56768558951958,Stop-loss hit
2018-11-09,2018-11-12,2.01,1.89,-59.70149253731338,Stop-loss hit
2018-11-26,2018-11-30,1.83,1.91,43.71584699453543,Take-profit hit
2018-12-12,2018-12-18,2.11,2.15,-18.957345971564,Stop-loss hit
2018-12-27,2019-01-02,2.12,2.2,-37.735849056603804,Stop-loss hit
2019-01-09,2019-01-10,2.27,2.23,17.621145374449355,Take-profit hit
2019-01-15,2019-01-16,2.08,2.02,-28.84615384615387,Stop-loss hit
2019-01-30,2019-01-31,2.16,2.21,-23.148148148148064,Stop-loss hit
2019-02-13,2019-02-14,2.19,2.23,18.264840182648417,Take-profit hit
2019-02-15,2019-02-19,2.31,2.46,-64.9350649350649,Stop-loss hit
2019-03-04,2019-03-05,2.4,2.53,54.16666666666662,Take-profit hit
2019-03-08,2019-03-14,2.74,2.58,58.394160583941655,Take-profit hit
2019-03-20,2019-03-21,2.71,2.8,-33.21033210332098,Stop-loss hit
2019-03-28,2019-03-29,2.53,2.52,-3.95256916996039,Stop-loss hit
2019-04-11,2019-04-12,2.32,2.3,-8.620689655172422,Stop-loss hit
2019-04-16,2019-04-18,2.27,2.2,-30.837004405286272,Stop-loss hit
2019-04-25,2019-04-26,2.14,2.25,51.40186915887845,Take-profit hit
2019-05-02,2019-05-08,2.09,1.93,-76.55502392344494,Stop-loss hit
2019-05-14,2019-05-31,1.86,1.79,-37.63440860215057,Take-profit hit
2019-06-03,2019-06-11,1.92,1.8,62.49999999999994,Take-profit hit
2019-06-19,2019-06-20,1.88,1.99,-58.5106382978724,Stop-loss hit
2019-07-05,2019-07-08,1.99,1.95,-20.100502512562834,Stop-loss hit
2019-07-17,2019-07-18,2.17,2.41,-110.59907834101394,Stop-loss hit
2019-07-24,2019-07-25,2.55,2.37,70.58823529411754,Take-profit hit
2019-07-31,2019-08-01,2.29,2.42,56.76855895196502,Take-profit hit
2019-08-05,2019-08-07,2.55,2.59,-15.686274509803937,Stop-loss hit
2019-08-16,2019-08-19,2.4,2.36,-16.666666666666682,Stop-loss hit
2019-08-27,2019-08-29,2.66,2.53,48.87218045112794,Take-profit hit
2019-08-30,2019-09-03,2.62,3.04,-160.30534351145036,Stop-loss hit
2019-09-13,2019-09-17,2.36,2.46,42.37288135593224,Take-profit hit
2019-09-23,2019-09-24,2.72,2.73,-3.6764705882352153,Stop-loss hit
2019-09-30,2019-10-01,2.22,2.23,4.504504504504408,Stop-loss hit
2019-10-10,2019-10-11,2.15,2.09,-27.906976744186075,Stop-loss hit
2019-10-23,2019-10-24,2.25,2.39,-62.22222222222228,Stop-loss hit
2019-10-31,2019-11-01,2.48,2.56,-32.25806451612906,Stop-loss hit
2019-11-05,2019-11-07,2.25,2.22,-13.333333333333247,Stop-loss hit
2019-11-18,2019-11-19,2.4,2.32,33.333333333333364,Take-profit hit
2019-11-21,2019-11-22,2.12,2.12,0.0,Stop-loss hit
2019-12-05,2019-12-06,2.28,2.14,61.40350877192969,Take-profit hit
2019-12-17,2019-12-18,2.13,2.17,18.77934272300471,Take-profit hit
2019-12-20,2019-12-24,2.13,2.37,112.67605633802827,Stop-loss hit
2020-01-08,2020-01-09,2.19,2.14,-22.83105022831042,Stop-loss hit
2020-01-27,2020-01-28,2.07,2.03,-19.32367149758456,Stop-loss hit
2020-02-03,2020-02-06,2.04,2.04,0.0,Take-profit hit
2020-02-12,2020-02-18,1.99,2.06,35.17587939698495,Stop-loss hit
2020-02-18,2020-02-19,2.06,2.0,29.126213592233036,Take-profit hit
2020-02-24,2020-02-25,1.92,1.85,-36.45833333333325,Stop-loss hit
2020-03-11,2020-03-12,1.43,1.14,-202.79720279720283,Stop-loss hit
2020-03-24,2020-03-25,1.45,1.56,-75.86206896551731,Stop-loss hit
2020-04-01,2020-04-07,1.22,1.3,65.57377049180334,Take-profit hit
2020-04-09,2020-04-14,1.4,1.65,-178.57142857142858,Stop-loss hit
2020-04-28,2020-04-29,1.59,1.67,-50.314465408804935,Stop-loss hit
2020-05-01,2020-05-05,1.63,1.55,49.0797546012269,Take-profit hit
2020-05-07,2020-05-11,1.47,1.36,-74.82993197278904,Stop-loss hit
2020-05-15,2020-05-18,1.63,1.76,-79.75460122699394,Stop-loss hit
2020-06-01,2020-06-03,2.08,1.96,57.69230769230774,Take-profit hit
2020-06-04,2020-06-05,2.05,1.99,29.268292682926752,Take-profit hit
2020-06-11,2020-06-17,1.91,1.85,-31.413612565444943,Stop-loss hit
2020-06-23,2020-06-25,2.05,2.11,-29.26829268292686,Stop-loss hit
2020-07-07,2020-07-08,2.34,2.43,-38.461538461538595,Stop-loss hit
2020-07-17,2020-07-20,2.88,3.3,-145.83333333333331,Stop-loss hit
2020-08-04,2020-08-05,4.61,4.32,62.90672451193059,Take-profit hit
2020-08-07,2020-08-11,4.08,3.67,-100.49019607843141,Stop-loss hit
