,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2018-05-29,2018-06-06,5.53,5.57,7.233273056057873,Take-profit hit
1,2018-06-08,2018-06-13,5.51,5.54,5.444646098003675,Take-profit hit
2,2018-06-18,2018-06-20,5.62,5.55,12.455516014234925,Take-profit hit
3,2018-06-22,2018-06-25,5.71,5.72,-1.7513134851137981,Stop-loss hit
4,2018-07-11,2018-07-16,5.47,5.43,-7.312614259597813,Stop-loss hit
5,2018-08-01,2018-08-07,5.38,5.0,-70.63197026022303,Stop-loss hit
6,2018-09-06,2018-09-12,4.33,4.39,13.856812933025314,Take-profit hit
7,2018-09-14,2018-09-17,4.21,4.4,45.13064133016636,Take-profit hit
8,2018-09-19,2018-09-20,4.48,4.51,-6.696428571428428,Stop-loss hit
9,2018-10-03,2018-10-11,4.26,4.15,-25.82159624413132,Stop-loss hit
10,2018-10-24,2018-10-25,3.99,3.79,-50.12531328320806,Stop-loss hit
11,2018-11-06,2018-11-09,3.75,3.56,-50.66666666666666,Stop-loss hit
12,2018-11-26,2018-11-27,3.28,3.19,-27.43902439024386,Stop-loss hit
13,2018-11-30,2018-12-07,3.18,3.26,25.157232704402396,Take-profit hit
14,2018-12-13,2018-12-18,3.37,3.48,-32.6409495548961,Stop-loss hit
15,2018-12-18,2018-12-24,3.48,3.64,-45.97701149425291,Stop-loss hit
16,2018-12-24,2018-12-27,3.64,3.71,-19.230769230769187,Stop-loss hit
17,2019-01-02,2019-01-10,3.73,3.75,-5.361930294906171,Take-profit hit
18,2019-01-15,2019-01-22,3.51,3.42,-25.641025641025603,Stop-loss hit
19,2019-01-30,2019-01-31,3.93,4.03,-25.44529262086516,Stop-loss hit
20,2019-02-12,2019-02-13,3.8,3.77,-7.894736842105213,Stop-loss hit
21,2019-02-15,2019-02-19,4.01,4.13,-29.92518703241898,Stop-loss hit
22,2019-02-21,2019-02-22,3.7,3.83,35.13513513513511,Take-profit hit
23,2019-03-01,2019-03-06,3.68,3.39,-78.80434782608697,Stop-loss hit
24,2019-03-15,2019-03-21,3.8,3.64,42.10526315789466,Take-profit hit
25,2019-03-27,2019-03-28,3.59,3.41,-50.13927576601664,Stop-loss hit
26,2019-04-16,2019-04-17,3.21,3.18,-9.345794392523304,Stop-loss hit
27,2019-04-30,2019-05-02,3.04,2.95,-29.605263157894687,Stop-loss hit
28,2019-05-08,2019-05-09,2.89,2.86,-10.380622837370328,Stop-loss hit
29,2019-05-14,2019-05-16,2.86,2.57,-101.39860139860141,Stop-loss hit
