,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2018-05-24,2018-05-29,3.97,3.89,20.151133501259462,Take-profit hit
1,2018-05-31,2018-06-06,3.76,3.78,5.319148936170218,Stop-loss hit
2,2018-06-25,2018-07-02,3.7,3.47,-62.162162162162154,Stop-loss hit
3,2018-07-11,2018-07-19,3.42,3.24,-52.63157894736834,Stop-loss hit
4,2018-07-19,2018-07-23,3.24,3.39,46.29629629629627,Take-profit hit
5,2018-07-26,2018-07-27,3.24,3.15,-27.77777777777787,Stop-loss hit
6,2018-08-07,2018-08-10,2.92,3.03,37.67123287671228,Take-profit hit
7,2018-08-15,2018-08-16,2.69,2.63,-22.304832713754667,Stop-loss hit
8,2018-08-20,2018-09-06,2.7,2.77,25.925925925925863,Take-profit hit
9,2018-09-12,2018-09-17,2.94,3.0,-20.408163265306143,Stop-loss hit
10,2018-09-17,2018-09-19,3.0,3.04,-13.333333333333345,Stop-loss hit
11,2018-09-27,2018-10-02,2.71,2.92,77.49077490774907,Take-profit hit
12,2018-10-11,2018-10-16,2.96,2.99,-10.13513513513522,Stop-loss hit
13,2018-10-16,2018-10-17,2.99,3.04,-16.722408026755794,Stop-loss hit
14,2018-10-23,2018-10-24,2.74,2.64,-36.49635036496353,Stop-loss hit
15,2018-11-12,2018-11-13,2.32,2.22,-43.103448275861915,Stop-loss hit
16,2018-11-16,2018-11-20,2.58,2.47,42.63565891472863,Take-profit hit
17,2018-11-21,2018-11-26,2.59,2.46,50.193050193050155,Take-profit hit
18,2018-11-30,2018-12-04,2.38,2.37,-4.201680672268818,Stop-loss hit
19,2018-12-04,2018-12-11,2.37,2.31,-25.316455696202553,Stop-loss hit
20,2018-12-11,2018-12-18,2.31,2.54,99.56709956709956,Stop-loss hit
21,2018-12-18,2018-12-27,2.54,2.35,74.8031496062992,Take-profit hit
22,2019-01-03,2019-01-04,2.52,2.58,-23.809523809523828,Stop-loss hit
23,2019-01-08,2019-01-09,2.78,2.93,-53.95683453237424,Stop-loss hit
24,2019-01-22,2019-01-25,2.36,2.49,55.08474576271201,Take-profit hit
25,2019-01-31,2019-02-06,2.7,2.62,29.62962962962965,Take-profit hit
26,2019-02-12,2019-02-14,2.54,2.58,15.748031496063007,Take-profit hit
27,2019-02-15,2019-02-19,2.69,2.92,-85.50185873605948,Stop-loss hit
28,2019-02-27,2019-02-28,2.41,2.4,-4.149377593361092,Stop-loss hit
29,2019-03-06,2019-03-13,2.23,2.42,85.20179372197308,Take-profit hit
30,2019-03-15,2019-03-22,2.47,2.43,16.194331983805682,Take-profit hit
31,2019-03-28,2019-03-29,2.34,2.3,-17.09401709401711,Stop-loss hit
32,2019-04-08,2019-04-10,2.45,2.37,32.653061224489825,Take-profit hit
33,2019-04-12,2019-04-23,2.23,2.09,-62.78026905829602,Stop-loss hit
34,2019-05-02,2019-05-03,1.97,2.06,45.6852791878173,Take-profit hit
35,2019-05-10,2019-05-13,1.57,1.54,-19.108280254777085,Stop-loss hit
36,2019-05-24,2019-05-30,1.34,1.28,-44.77611940298512,Stop-loss hit
37,2019-06-07,2019-06-10,1.48,1.41,47.29729729729734,Take-profit hit
38,2019-06-11,2019-06-13,1.5,1.62,-80.00000000000007,Stop-loss hit
39,2019-06-26,2019-06-28,1.79,1.78,5.586592178770955,Take-profit hit
40,2019-07-01,2019-07-05,1.67,1.73,35.92814371257488,Take-profit hit
41,2019-07-08,2019-07-10,1.64,1.73,54.87804878048785,Take-profit hit
42,2019-07-16,2019-07-17,1.75,1.98,-131.42857142857142,Stop-loss hit
43,2019-07-22,2019-07-25,1.92,1.82,52.083333333333265,Take-profit hit
44,2019-08-05,2019-08-07,1.99,1.75,120.60301507537687,Stop-loss hit
45,2019-08-07,2019-08-08,1.75,1.7,-28.571428571428598,Stop-loss hit
46,2019-08-23,2019-08-27,1.67,1.74,-41.916167664670695,Stop-loss hit
47,2019-09-03,2019-09-04,1.89,1.94,-26.45502645502648,Stop-loss hit
48,2019-09-10,2019-09-11,1.93,1.97,-20.72538860103629,Stop-loss hit
49,2019-09-23,2019-09-24,2.04,2.07,-14.70588235294108,Stop-loss hit
50,2019-09-30,2019-10-02,1.74,1.91,97.70114942528731,Take-profit hit
51,2019-10-08,2019-10-11,2.0,1.89,55.00000000000005,Take-profit hit
52,2019-10-15,2019-10-21,1.81,1.94,71.82320441988945,Take-profit hit
53,2019-10-24,2019-10-25,2.01,2.08,-34.82587064676631,Stop-loss hit
54,2019-11-11,2019-11-14,2.44,2.38,24.59016393442625,Take-profit hit
55,2019-11-18,2019-11-22,2.45,2.33,48.979591836734734,Stop-loss hit
56,2019-11-22,2019-11-26,2.33,2.4,30.042918454935553,Take-profit hit
57,2019-11-29,2019-12-02,2.48,2.52,-16.12903225806453,Stop-loss hit
58,2019-12-12,2019-12-13,2.92,3.03,-37.67123287671228,Stop-loss hit
59,2019-12-18,2019-12-20,3.12,2.98,44.87179487179491,Take-profit hit
60,2019-12-23,2019-12-24,3.26,3.35,-27.60736196319028,Stop-loss hit
61,2020-01-08,2020-01-09,3.27,3.17,-30.581039755351707,Stop-loss hit
62,2020-01-28,2020-01-31,2.87,3.05,62.7177700348431,Take-profit hit
63,2020-02-04,2020-02-05,2.91,3.06,51.546391752577286,Take-profit hit
64,2020-02-06,2020-02-07,3.38,3.43,-14.792899408284102,Stop-loss hit
65,2020-02-27,2020-02-28,2.87,2.57,-104.52961672473876,Stop-loss hit
66,2020-03-06,2020-03-09,2.59,2.34,-96.52509652509653,Stop-loss hit
67,2020-03-18,2020-03-19,1.58,1.98,253.16455696202524,Take-profit hit
68,2020-03-24,2020-03-25,2.05,2.27,-107.31707317073182,Stop-loss hit
69,2020-04-01,2020-04-06,1.7,1.88,105.88235294117644,Take-profit hit
70,2020-04-09,2020-04-14,2.05,2.38,-160.9756097560976,Stop-loss hit
71,2020-04-22,2020-04-29,2.42,2.73,-128.09917355371903,Stop-loss hit
72,2020-05-01,2020-05-05,2.66,2.58,30.075187969924837,Take-profit hit
73,2020-05-07,2020-05-11,2.46,2.57,44.71544715447149,Take-profit hit
74,2020-05-15,2020-05-18,2.98,3.13,-50.335570469798625,Stop-loss hit
75,2020-06-01,2020-06-02,3.59,3.3,80.77994428969362,Take-profit hit
76,2020-06-10,2020-06-11,3.44,3.04,116.27906976744184,Stop-loss hit
77,2020-06-11,2020-06-17,3.04,2.91,-42.7631578947368,Stop-loss hit
78,2020-06-30,2020-07-01,3.26,3.21,15.337423312883383,Stop-loss hit
79,2020-08-03,2020-08-04,5.6,6.05,-80.35714285714289,Stop-loss hit
80,2020-08-25,2020-08-26,5.42,5.78,66.42066420664213,Take-profit hit
81,2020-09-04,2020-09-10,5.58,5.65,12.544802867383563,Take-profit hit
82,2020-09-11,2020-09-16,5.44,5.76,58.82352941176459,Take-profit hit
83,2020-09-22,2020-09-24,5.25,4.93,-60.952380952381006,Stop-loss hit
84,2020-10-09,2020-10-16,5.49,5.31,32.78688524590175,Take-profit hit
85,2020-10-23,2020-10-26,5.14,5.06,-15.564202334630366,Stop-loss hit
86,2020-11-05,2020-11-06,5.51,5.6,-16.333938294010867,Stop-loss hit
87,2020-11-16,2020-11-17,5.57,5.26,55.6552962298026,Take-profit hit
88,2020-11-18,2020-11-20,5.02,5.13,21.912350597609628,Take-profit hit
89,2020-11-23,2020-11-24,4.87,4.7,-34.90759753593428,Stop-loss hit
90,2020-12-01,2020-12-07,5.14,5.32,-35.01945525291841,Stop-loss hit
91,2020-12-14,2020-12-15,5.0,5.43,85.99999999999994,Stop-loss hit
92,2020-12-15,2020-12-16,5.43,5.81,-69.98158379373847,Stop-loss hit
93,2020-12-30,2021-01-04,6.64,6.85,-31.626506024096383,Stop-loss hit
94,2021-01-08,2021-01-13,6.03,5.8,-38.14262023217254,Stop-loss hit
95,2021-01-13,2021-01-15,5.8,5.3,-86.20689655172414,Stop-loss hit
96,2021-01-25,2021-01-27,5.11,4.75,-70.45009784735818,Stop-loss hit
97,2021-01-29,2021-02-01,5.68,7.31,-286.97183098591546,Stop-loss hit
98,2021-06-14,2021-06-15,8.96,8.82,15.625000000000062,Stop-loss hit
99,2021-06-28,2021-07-08,7.43,6.91,-69.98654104979805,Stop-loss hit
100,2021-07-08,2021-07-12,6.91,6.94,4.341534008683103,Stop-loss hit
101,2021-07-12,2021-07-16,6.94,6.67,-38.90489913544675,Stop-loss hit
102,2021-07-16,2021-07-19,6.67,6.36,-46.47676161919035,Stop-loss hit
103,2021-07-29,2021-07-30,6.82,6.64,26.39296187683293,Take-profit hit
104,2021-08-04,2021-08-06,6.28,6.2,-12.738853503184723,Stop-loss hit
105,2021-08-12,2021-08-13,5.94,6.13,31.9865319865319,Take-profit hit
106,2021-08-17,2021-08-18,5.85,5.68,-29.059829059829053,Stop-loss hit
107,2021-08-27,2021-09-03,6.08,6.4,-52.63157894736846,Stop-loss hit
108,2021-09-16,2021-09-17,5.65,5.61,-7.079646017699122,Stop-loss hit
109,2021-10-05,2021-10-07,5.34,5.46,22.471910112359573,Take-profit hit
110,2021-10-12,2021-10-13,5.12,5.38,50.78124999999996,Take-profit hit
111,2021-10-14,2021-10-18,5.65,5.45,35.39823008849561,Take-profit hit
112,2021-10-20,2021-10-22,5.73,5.84,-19.197207678882968,Stop-loss hit
113,2021-10-22,2021-10-25,5.84,6.19,-59.931506849315156,Stop-loss hit
114,2021-11-04,2021-11-05,5.67,5.94,47.6190476190477,Take-profit hit
115,2021-11-09,2021-11-11,6.13,6.41,-45.67699836867867,Stop-loss hit
116,2021-11-19,2021-11-22,6.02,5.9,-19.933554817275617,Stop-loss hit
117,2021-12-09,2021-12-14,5.14,4.8,-66.14785992217897,Stop-loss hit
118,2021-12-21,2021-12-29,5.23,5.04,36.3288718929255,Take-profit hit
119,2022-01-06,2022-01-07,4.87,4.87,0.0,Stop-loss hit
120,2022-01-12,2022-01-14,5.21,5.08,24.952015355086353,Take-profit hit
121,2022-01-19,2022-01-20,5.8,5.61,32.75862068965509,Stop-loss hit
122,2022-01-26,2022-01-27,4.93,4.69,-48.68154158214997,Stop-loss hit
123,2022-02-07,2022-02-08,5.18,5.27,-17.37451737451735,Stop-loss hit
124,2022-02-11,2022-02-14,5.41,5.5,-16.635859519408477,Stop-loss hit
125,2022-02-16,2022-02-17,5.48,5.32,29.197080291970828,Take-profit hit
126,2022-02-18,2022-02-23,5.06,5.94,173.91304347826102,Stop-loss hit
127,2022-03-01,2022-03-02,6.51,6.47,6.144393241167441,Stop-loss hit
128,2022-03-10,2022-03-11,7.12,6.84,39.32584269662925,Take-profit hit
129,2022-03-14,2022-03-21,6.43,6.84,63.76360808709179,Take-profit hit
130,2022-03-28,2022-03-31,6.39,6.59,31.29890453834119,Take-profit hit
131,2022-04-05,2022-04-06,6.39,6.35,-6.259780907668238,Stop-loss hit
132,2022-04-08,2022-04-12,6.76,7.0,-35.502958579881685,Stop-loss hit
133,2022-04-21,2022-04-22,6.49,6.1,-60.09244992295849,Stop-loss hit
134,2022-05-05,2022-05-09,4.99,4.54,-90.18036072144292,Stop-loss hit
135,2022-05-23,2022-05-27,4.72,4.88,-33.89830508474579,Stop-loss hit
136,2022-06-06,2022-06-07,4.88,4.91,-6.147540983606609,Stop-loss hit
137,2022-06-09,2022-06-13,4.63,4.28,-75.59395248380122,Stop-loss hit
138,2022-06-13,2022-06-14,4.28,4.29,2.3364485981307914,Stop-loss hit
