,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2018-06-08,2018-06-22,11.2,11.24,3.571428571428654,Take-profit hit
1,2018-06-25,2018-07-02,10.99,10.72,-24.567788898999048,Stop-loss hit
2,2018-07-30,2018-08-01,9.38,9.17,-22.388059701492626,Stop-loss hit
3,2018-08-07,2018-08-08,8.99,8.94,-5.561735261401636,Stop-loss hit
4,2018-08-13,2018-08-15,8.59,7.89,-81.49010477299187,Stop-loss hit
5,2018-09-06,2018-09-14,7.45,7.5,6.711409395973131,Take-profit hit
6,2018-09-19,2018-09-26,8.23,7.64,71.68894289185914,Take-profit hit
7,2018-10-01,2018-10-02,8.16,7.92,29.41176470588238,Take-profit hit
8,2018-10-03,2018-10-08,7.74,7.84,12.919896640826826,Take-profit hit
9,2018-10-09,2018-10-12,7.5,7.96,61.333333333333336,Take-profit hit
10,2018-10-15,2018-10-16,8.18,7.9,34.22982885085567,Take-profit hit
11,2018-10-23,2018-10-25,7.71,7.38,-42.80155642023347,Stop-loss hit
12,2018-11-06,2018-11-09,7.05,6.81,-34.04255319148939,Stop-loss hit
13,2018-11-16,2018-11-26,7.45,6.72,97.98657718120812,Take-profit hit
14,2018-12-13,2018-12-18,6.95,7.15,-28.77697841726621,Stop-loss hit
15,2018-12-18,2018-12-27,7.15,7.32,-23.776223776223766,Stop-loss hit
16,2018-12-27,2018-12-28,7.32,7.38,-8.196721311475356,Stop-loss hit
17,2019-01-22,2019-01-28,7.44,8.67,165.32258064516122,Stop-loss hit
18,2019-02-11,2019-02-13,8.59,8.83,27.93946449359723,Take-profit hit
19,2019-02-15,2019-02-19,9.06,9.33,-29.80132450331121,Stop-loss hit
20,2019-03-06,2019-03-08,9.24,10.3,114.71861471861477,Stop-loss hit
21,2019-03-08,2019-03-13,10.3,10.62,-31.067961165048395,Stop-loss hit
22,2019-03-21,2019-03-27,11.11,11.06,4.5004500450044045,Take-profit hit
23,2019-03-28,2019-04-01,10.34,9.94,-38.6847195357834,Stop-loss hit
24,2019-04-01,2019-04-02,9.94,9.81,-13.0784708249496,Stop-loss hit
25,2019-04-12,2019-04-16,9.72,9.44,-28.806584362140036,Stop-loss hit
26,2019-04-26,2019-05-01,10.19,9.52,65.75073601570166,Take-profit hit
27,2019-05-10,2019-05-14,9.29,9.57,30.139935414424237,Take-profit hit
28,2019-05-16,2019-05-24,9.31,9.23,-8.592910848549954,Take-profit hit
29,2019-05-31,2019-06-03,9.77,10.6,-84.95394063459571,Stop-loss hit
30,2019-06-19,2019-06-20,11.25,11.5,-22.22222222222222,Stop-loss hit
31,2019-06-26,2019-06-28,10.76,10.52,-22.304832713754667,Stop-loss hit
32,2019-07-08,2019-07-10,10.3,10.5,19.41747572815527,Take-profit hit
33,2019-07-11,2019-07-16,10.25,10.69,42.926829268292636,Stop-loss hit
34,2019-07-16,2019-07-17,10.69,11.23,-50.51449953227324,Stop-loss hit
35,2019-07-29,2019-07-30,11.84,12.27,-36.317567567567544,Stop-loss hit
36,2019-08-08,2019-08-12,12.24,12.44,-16.339869281045694,Stop-loss hit
37,2019-08-12,2019-08-13,12.44,11.79,52.25080385852093,Take-profit hit
38,2019-08-16,2019-08-19,11.64,11.46,-15.46391752577317,Stop-loss hit
39,2019-08-23,2019-08-27,12.47,13.2,-58.54049719326372,Stop-loss hit
40,2019-09-03,2019-09-06,13.17,11.75,107.82080485952922,Stop-loss hit
41,2019-09-06,2019-09-09,11.75,11.37,-32.34042553191496,Stop-loss hit
42,2019-09-12,2019-09-17,11.35,11.73,33.480176211453816,Take-profit hit
43,2019-09-23,2019-09-24,12.0,12.43,-35.83333333333331,Stop-loss hit
44,2019-09-27,2019-09-30,11.07,10.63,-39.747064137307994,Stop-loss hit
45,2019-10-09,2019-10-11,10.36,9.99,-35.71428571428564,Stop-loss hit
46,2019-10-21,2019-10-24,9.44,9.59,15.889830508474615,Take-profit hit
47,2019-10-28,2019-10-29,9.3,9.25,-5.376344086021581,Stop-loss hit
48,2019-10-31,2019-11-01,9.87,9.9,-3.039513677811666,Stop-loss hit
49,2019-11-12,2019-11-14,9.97,10.17,-20.060180541624803,Stop-loss hit
50,2019-11-18,2019-11-19,10.22,10.39,-16.634050880626216,Stop-loss hit
51,2019-11-25,2019-11-27,9.73,10.23,51.3874614594039,Take-profit hit
52,2019-11-29,2019-12-02,10.71,10.68,2.8011204481793777,Stop-loss hit
53,2019-12-12,2019-12-13,10.84,10.99,-13.837638376383797,Stop-loss hit
54,2019-12-20,2019-12-24,10.59,11.93,126.53446647780925,Stop-loss hit
55,2020-01-08,2020-01-09,10.94,10.77,-15.539305301645333,Stop-loss hit
56,2020-01-17,2020-01-24,10.54,11.12,55.02846299810248,Stop-loss hit
57,2020-01-24,2020-01-28,11.12,10.5,55.75539568345317,Stop-loss hit
58,2020-01-28,2020-01-29,10.5,10.9,38.09523809523813,Take-profit hit
59,2020-02-03,2020-02-04,10.64,10.36,-26.315789473684315,Stop-loss hit
60,2020-02-07,2020-02-10,10.35,10.47,11.59420289855082,Take-profit hit
61,2020-02-13,2020-02-18,10.27,10.63,35.05355404089593,Stop-loss hit
62,2020-02-18,2020-02-19,10.63,10.78,-14.111006585136272,Stop-loss hit
63,2020-02-27,2020-02-28,9.58,8.45,-117.95407098121095,Stop-loss hit
64,2020-03-06,2020-03-11,8.6,6.82,-206.97674418604646,Stop-loss hit
65,2020-03-24,2020-03-25,9.45,9.89,-46.5608465608467,Stop-loss hit
66,2020-04-09,2020-04-14,9.65,10.2,-56.99481865284963,Stop-loss hit
67,2020-04-27,2020-04-28,11.67,12.01,-29.13453299057411,Stop-loss hit
68,2020-05-12,2020-05-14,11.25,11.5,22.22222222222222,Take-profit hit
69,2020-05-15,2020-05-18,12.42,13.31,-71.65861513687605,Stop-loss hit
70,2020-06-01,2020-06-02,13.62,12.81,59.47136563876643,Take-profit hit
71,2020-06-11,2020-06-15,11.87,12.4,44.65037910699252,Take-profit hit
72,2020-06-18,2020-06-19,11.8,12.28,40.6779661016948,Take-profit hit
73,2020-06-22,2020-06-23,12.8,13.2,-31.24999999999989,Stop-loss hit
74,2020-07-06,2020-07-08,14.04,14.78,-52.70655270655273,Stop-loss hit
75,2020-07-14,2020-07-20,15.0,15.96,-64.00000000000006,Stop-loss hit
76,2020-08-04,2020-08-05,17.6,16.96,36.363636363636395,Take-profit hit
77,2020-08-07,2020-08-11,16.39,15.32,-65.2837095790116,Stop-loss hit
78,2020-08-11,2020-08-12,15.32,15.58,16.971279373368134,Stop-loss hit
79,2020-08-21,2020-08-25,15.53,15.11,-27.04443013522215,Stop-loss hit
80,2020-08-28,2020-09-03,16.62,16.06,33.69434416365838,Take-profit hit
81,2020-09-16,2020-09-17,17.54,17.85,-17.673888255416323,Stop-loss hit
82,2020-10-09,2020-10-13,18.39,18.15,13.050570962479716,Stop-loss hit
83,2020-10-26,2020-10-27,17.37,17.8,24.755325273459974,Take-profit hit
84,2020-10-28,2020-10-29,16.15,16.5,21.671826625387087,Stop-loss hit
85,2020-11-05,2020-11-06,19.52,19.85,-16.905737704918128,Stop-loss hit
86,2020-11-16,2020-11-18,16.5,15.44,-64.24242424242428,Stop-loss hit
87,2020-11-23,2020-11-24,14.91,14.5,-27.49832327297117,Stop-loss hit
88,2020-12-01,2020-12-02,16.69,16.73,-2.3966446974235556,Stop-loss hit
89,2020-12-07,2020-12-09,16.89,16.11,46.18117229129669,Take-profit hit
90,2020-12-14,2020-12-15,15.33,16.19,56.099151989563026,Take-profit hit
91,2020-12-16,2020-12-17,16.91,18.26,-79.83441750443532,Stop-loss hit
92,2020-12-24,2020-12-30,18.63,20.7,-111.11111111111113,Stop-loss hit
93,2021-01-13,2021-01-15,19.65,18.41,-63.10432569974547,Stop-loss hit
94,2021-01-22,2021-01-27,18.4,16.71,-91.8478260869564,Stop-loss hit
95,2021-01-27,2021-01-29,16.71,19.63,174.74566128067013,Stop-loss hit
96,2021-01-29,2021-02-01,19.63,22.13,-127.35608762098829,Stop-loss hit
97,2021-06-14,2021-06-15,23.68,23.61,2.956081081081093,Stop-loss hit
98,2021-06-28,2021-06-29,20.72,20.21,-24.61389961389952,Stop-loss hit
99,2021-07-08,2021-07-09,20.2,20.86,32.673267326732685,Take-profit hit
100,2021-07-15,2021-07-16,20.37,18.77,-78.54688267059407,Stop-loss hit
101,2021-07-29,2021-08-04,20.04,19.46,28.942115768462987,Take-profit hit
102,2021-08-09,2021-08-12,18.28,18.33,2.7352297592996258,Stop-loss hit
103,2021-08-12,2021-08-13,18.33,19.15,44.73540643753412,Take-profit hit
104,2021-08-17,2021-08-18,17.92,17.58,-18.973214285714473,Stop-loss hit
105,2021-08-27,2021-09-07,19.31,19.06,12.946659761781461,Take-profit hit
106,2021-09-08,2021-09-09,18.28,18.13,-8.20568927789946,Stop-loss hit
107,2021-09-16,2021-09-17,17.94,17.36,-32.32998885172808,Stop-loss hit
108,2021-09-29,2021-10-01,15.62,16.23,39.05249679897575,Take-profit hit
109,2021-10-04,2021-10-05,15.89,15.61,-17.62114537444941,Stop-loss hit
110,2021-10-12,2021-10-13,16.51,17.42,-55.11811023622048,Stop-loss hit
111,2021-10-19,2021-10-20,17.67,18.74,-60.554612337294664,Stop-loss hit
112,2021-11-03,2021-11-08,20.43,20.91,-23.494860499265805,Stop-loss hit
113,2021-11-11,2021-11-15,20.99,20.8,9.051929490233336,Take-profit hit
114,2021-11-16,2021-11-17,20.08,19.9,-8.964143426294807,Stop-loss hit
115,2021-12-01,2021-12-08,15.62,15.63,0.6402048655570783,Take-profit hit
116,2021-12-09,2021-12-14,14.98,15.0,1.3351134846461665,Take-profit hit
117,2021-12-15,2021-12-16,14.81,16.07,85.07765023632679,Stop-loss hit
118,2021-12-16,2021-12-17,16.07,16.24,-10.578718108276176,Stop-loss hit
119,2021-12-29,2021-12-31,15.04,15.69,43.21808510638301,Take-profit hit
120,2022-01-05,2022-01-06,15.11,14.59,-34.41429516876238,Stop-loss hit
121,2022-01-12,2022-01-13,15.69,15.28,26.1312938177183,Take-profit hit
122,2022-01-19,2022-01-20,16.69,16.38,18.57399640503309,Stop-loss hit
123,2022-01-24,2022-01-27,14.55,13.55,-68.72852233676976,Stop-loss hit
124,2022-02-07,2022-02-09,14.61,14.79,-12.320328542094439,Stop-loss hit
125,2022-02-11,2022-02-14,15.42,15.94,-33.722438391699065,Stop-loss hit
126,2022-02-23,2022-03-01,16.65,17.45,-48.048048048048095,Stop-loss hit
127,2022-03-14,2022-03-17,16.7,17.79,65.2694610778443,Take-profit hit
128,2022-03-18,2022-03-23,16.88,16.96,4.739336492891105,Take-profit hit
129,2022-03-28,2022-03-29,15.81,15.91,6.325110689437042,Stop-loss hit
130,2022-04-08,2022-04-11,17.02,17.14,-7.050528789659283,Stop-loss hit
131,2022-04-22,2022-04-25,15.6,15.03,-36.538461538461554,Stop-loss hit
132,2022-05-09,2022-05-10,13.0,12.75,-19.23076923076923,Stop-loss hit
133,2022-05-19,2022-05-24,14.48,14.81,-22.790055248618792,Stop-loss hit
134,2022-06-06,2022-06-08,14.93,14.67,17.41460147354319,Take-profit hit
135,2022-06-09,2022-06-10,14.01,14.7,49.250535331905745,Take-profit hit
136,2022-06-13,2022-06-14,13.27,12.72,-41.446872645063976,Stop-loss hit
137,2022-06-23,2022-06-24,12.27,12.9,51.34474327628368,Take-profit hit
138,2022-06-30,2022-07-01,12.21,12.64,35.217035217035196,Take-profit hit
139,2022-07-05,2022-07-06,11.45,11.03,-36.68122270742357,Stop-loss hit
140,2022-07-19,2022-07-21,11.33,11.67,-30.008826125330966,Stop-loss hit
141,2022-07-21,2022-07-22,11.67,11.63,3.4275921165380594,Stop-loss hit
142,2022-07-26,2022-07-27,11.73,12.46,-62.23358908780907,Stop-loss hit
143,2022-08-12,2022-08-16,14.06,13.79,19.203413940256144,Take-profit hit
144,2022-08-17,2022-08-18,13.16,13.02,-10.638297872340468,Stop-loss hit
145,2022-08-30,2022-08-31,12.27,11.95,-26.079869600652017,Stop-loss hit
146,2022-09-09,2022-09-12,13.15,13.58,-32.6996197718631,Stop-loss hit
