entry_index,exit_index,entry_price,exit_price,pnl,reason
2018-06-20,2018-07-02,17.49,17.75,14.865637507147031,Take-profit hit
2018-07-03,2018-07-09,18.24,17.89,19.188596491227955,Take-profit hit
2018-07-11,2018-07-16,16.76,16.28,-28.639618138424847,Stop-loss hit
2018-08-07,2018-08-08,15.94,15.93,-0.6273525721455324,Stop-loss hit
2018-08-10,2018-08-13,17.01,16.43,34.09758965314531,Take-profit hit
2018-08-15,2018-08-16,15.73,15.36,-23.521932612841766,Stop-loss hit
2018-09-06,2018-09-11,14.94,14.45,-32.797858099062935,Stop-loss hit
2018-09-14,2018-09-17,14.48,14.83,24.17127071823202,Take-profit hit
2018-09-20,2018-09-25,15.23,14.8,28.233749179251454,Take-profit hit
2018-09-27,2018-09-28,14.36,14.76,27.855153203342645,Take-profit hit
2018-10-11,2018-10-23,15.49,15.09,25.823111684958057,Take-profit hit
2018-10-25,2018-10-31,14.59,14.68,6.16860863605208,Stop-loss hit
2018-11-07,2018-11-14,14.04,12.66,-98.29059829059823,Stop-loss hit
2018-11-27,2018-11-28,12.54,13.06,41.467304625199475,Take-profit hit
2018-12-07,2018-12-12,13.84,14.11,-19.508670520231185,Stop-loss hit
2018-12-12,2018-12-13,14.11,14.19,-5.6697377746279285,Stop-loss hit
2018-12-17,2018-12-18,14.39,14.62,-15.983321751216028,Stop-loss hit
2018-12-24,2019-01-07,14.46,15.12,-45.64315352697084,Stop-loss hit
2019-01-15,2019-01-22,14.55,13.19,-93.47079037800695,Stop-loss hit
2019-01-31,2019-02-07,14.79,14.58,14.198782961460385,Take-profit hit
2019-02-11,2019-02-13,14.42,14.21,-14.563106796116442,Stop-loss hit
2019-02-19,2019-02-20,15.08,14.57,33.81962864721484,Take-profit hit
2019-02-25,2019-02-27,14.03,13.67,-25.659301496792548,Stop-loss hit
2019-03-21,2019-03-25,13.34,13.67,-24.737631184407803,Stop-loss hit
2019-04-01,2019-04-04,12.91,13.27,27.885360185902357,Take-profit hit
2019-04-10,2019-04-11,13.48,13.25,17.06231454005938,Take-profit hit
2019-04-16,2019-04-17,13.05,12.85,-15.32567049808437,Stop-loss hit
2019-05-02,2019-05-03,11.86,11.97,9.274873524452042,Stop-loss hit
2019-05-08,2019-05-10,12.02,11.47,-45.75707154742088,Stop-loss hit
2019-06-03,2019-06-04,11.43,11.42,0.8748906386701476,Stop-loss hit
2019-06-07,2019-06-10,11.61,11.08,45.6503014642549,Take-profit hit
2019-06-13,2019-06-17,11.66,11.77,-9.433962264150896,Stop-loss hit
2019-06-17,2019-06-18,11.77,11.84,-5.9473237043330744,Stop-loss hit
2019-06-20,2019-06-21,12.47,12.83,-28.869286287088965,Stop-loss hit
2019-07-10,2019-07-11,13.21,12.9,23.46707040121124,Take-profit hit
2019-07-15,2019-07-16,13.19,14.05,-65.20090978013656,Stop-loss hit
2019-07-31,2019-08-01,15.26,16.63,89.7771952817824,Stop-loss hit
2019-08-01,2019-08-02,16.63,16.12,30.66746843054709,Take-profit hit
2019-08-05,2019-08-07,16.78,17.0,-13.110846245530325,Stop-loss hit
2019-08-16,2019-08-19,16.45,16.25,-12.158054711246159,Stop-loss hit
2019-08-23,2019-08-27,17.46,18.88,-81.3287514318441,Stop-loss hit
2019-09-03,2019-09-05,18.88,18.02,45.55084745762709,Take-profit hit
2019-09-09,2019-09-10,17.32,17.28,-2.3094688221708513,Stop-loss hit
2019-09-23,2019-09-24,17.66,17.78,-6.795016987542525,Stop-loss hit
2019-09-27,2019-09-30,16.2,15.7,-30.8641975308642,Stop-loss hit
2019-10-10,2019-10-11,16.41,16.19,13.40645947592924,Take-profit hit
2019-10-15,2019-10-23,15.51,15.89,24.50032237266285,Take-profit hit
2019-10-25,2019-10-28,16.96,16.27,40.68396226415101,Take-profit hit
2019-10-31,2019-11-01,16.87,17.0,-7.705986959098933,Stop-loss hit
2019-11-07,2019-11-08,17.39,17.54,-8.625646923519183,Stop-loss hit
2019-11-26,2019-11-27,18.84,18.7,7.43099787685778,Take-profit hit
2019-11-29,2019-12-02,19.19,19.81,-32.30849400729533,Stop-loss hit
2019-12-11,2019-12-12,20.68,21.24,-27.079303675048294,Stop-loss hit
2019-12-23,2019-12-24,22.45,23.02,-25.389755011135872,Stop-loss hit
2020-01-08,2020-01-09,22.35,22.07,-12.527964205816605,Stop-loss hit
2020-01-13,2020-01-15,21.99,22.82,37.7444292860392,Take-profit hit
2020-01-16,2020-01-17,21.7,21.36,-15.668202764976954,Stop-loss hit
2020-01-24,2020-01-29,22.93,22.43,21.805494984736153,Take-profit hit
2020-01-31,2020-02-03,22.88,22.39,21.41608391608385,Take-profit hit
2020-02-04,2020-02-05,21.99,22.36,16.82582992269218,Take-profit hit
2020-02-18,2020-02-19,23.91,24.67,-31.785863655374385,Stop-loss hit
2020-02-27,2020-02-28,21.52,19.56,-91.07806691449818,Stop-loss hit
2020-03-11,2020-03-12,18.95,16.69,-119.26121372031652,Stop-loss hit
2020-03-18,2020-03-23,13.21,14.09,66.61619984859948,Take-profit hit
2020-03-25,2020-03-27,17.11,15.33,104.03272939801282,Take-profit hit
2020-04-08,2020-04-09,16.33,18.01,-102.87813839559115,Stop-loss hit
2020-04-20,2020-04-30,19.94,21.18,-62.18655967903703,Take-profit hit
2020-05-04,2020-05-05,22.48,22.13,15.569395017793656,Take-profit hit
2020-05-12,2020-05-14,21.44,21.87,20.055970149253717,Take-profit hit
2020-05-15,2020-05-18,24.43,25.02,-24.15063446582071,Stop-loss hit
2020-05-29,2020-06-01,29.09,30.21,-38.50120316259887,Stop-loss hit
2020-06-11,2020-06-15,25.94,27.33,53.58519660755578,Take-profit hit
2020-06-22,2020-06-23,28.43,28.73,-10.552233556102735,Stop-loss hit
2020-06-26,2020-06-30,28.57,30.4,-64.05320266013295,Stop-loss hit
2020-06-30,2020-07-06,30.4,29.34,34.86842105263154,Take-profit hit
2020-07-07,2020-07-08,30.25,32.47,-73.38842975206607,Stop-loss hit
2020-07-14,2020-07-20,32.87,35.83,-90.05171889260727,Stop-loss hit
2020-07-27,2020-07-31,38.65,37.3,34.928848641655925,Take-profit hit
2020-08-04,2020-08-05,38.65,39.08,-11.125485122897793,Stop-loss hit
2020-08-10,2020-08-11,36.15,31.92,-117.01244813278001,Stop-loss hit
2020-08-28,2020-09-04,35.67,34.47,33.64171572750218,Take-profit hit
2020-09-16,2020-09-17,36.01,35.12,24.715356845320763,Take-profit hit
2020-09-22,2020-09-24,33.26,31.26,-60.132291040288536,Stop-loss hit
2020-10-09,2020-10-14,34.11,34.48,-10.847258868366973,Stop-loss hit
2020-10-28,2020-10-29,30.4,30.77,12.171052631578982,Stop-loss hit
2020-11-05,2020-11-06,36.12,36.87,-20.764119601328904,Stop-loss hit
2020-11-18,2020-11-23,30.99,29.12,-60.342045821232574,Stop-loss hit
2020-12-02,2020-12-07,30.95,31.82,-28.109854604200354,Stop-loss hit
2020-12-07,2020-12-09,31.82,30.02,56.56819610307984,Take-profit hit
2020-12-11,2020-12-14,29.67,28.85,-27.637344118638364,Stop-loss hit
2020-12-16,2020-12-17,31.92,34.02,-65.78947368421056,Stop-loss hit
2020-12-30,2021-01-04,34.97,37.46,-71.20388904775528,Stop-loss hit
2021-01-13,2021-01-14,32.1,31.24,-26.79127725856707,Stop-loss hit
2021-01-27,2021-01-29,28.01,32.28,152.4455551588718,Stop-loss hit
2021-01-29,2021-02-01,32.28,36.41,-127.94299876084249,Stop-loss hit
2021-06-17,2021-06-30,28.77,28.55,-7.646854362182791,Take-profit hit
2021-07-02,2021-07-06,28.87,28.45,14.547973675095314,Take-profit hit
2021-07-07,2021-07-08,28.18,27.49,-24.485450674237093,Stop-loss hit
2021-07-16,2021-07-19,27.1,26.08,-37.638376383763955,Stop-loss hit
2021-07-29,2021-08-04,28.28,27.62,23.33804809052334,Take-profit hit
2021-08-06,2021-08-09,26.72,25.47,-46.7814371257485,Stop-loss hit
2021-08-17,2021-08-18,25.35,24.68,-26.429980276134188,Stop-loss hit
2021-08-27,2021-09-03,25.8,26.58,-30.232558139534788,Stop-loss hit
2021-09-03,2021-09-07,26.58,25.75,31.22648607975916,Take-profit hit
2021-09-16,2021-09-17,24.61,24.41,-8.126777732628984,Stop-loss hit
2021-09-23,2021-10-08,23.7,24.01,13.080168776371403,Stop-loss hit
2021-10-12,2021-10-13,24.25,24.96,-29.278350515463956,Stop-loss hit
2021-10-20,2021-10-25,25.82,26.55,-28.272656855151062,Stop-loss hit
2021-11-02,2021-11-04,25.5,25.17,-12.94117647058817,Stop-loss hit
2021-11-04,2021-11-05,25.17,25.99,32.57846642828751,Take-profit hit
2021-11-09,2021-11-10,26.71,26.84,-4.867090977162074,Stop-loss hit
2021-11-22,2021-11-23,25.93,26.14,8.098727342846157,Stop-loss hit
2021-12-10,2021-12-14,23.4,22.4,-42.73504273504274,Stop-loss hit
2021-12-21,2022-01-04,24.56,24.25,12.6221498371335,Take-profit hit
2022-01-05,2022-01-06,23.6,22.63,-41.101694915254335,Stop-loss hit
2022-01-19,2022-01-20,24.94,24.61,13.23175621491587,Stop-loss hit
2022-01-26,2022-01-27,22.53,21.51,-45.27296937416776,Stop-loss hit
2022-02-03,2022-02-09,21.2,22.94,82.0754716981133,Stop-loss hit
2022-02-11,2022-02-14,23.86,24.06,-8.382229673093013,Stop-loss hit
2022-02-25,2022-03-01,23.3,25.69,102.57510729613736,Stop-loss hit
2022-03-01,2022-03-02,25.69,25.54,5.838847800700745,Stop-loss hit
