Date,Price
2018-04-25,16.52
2018-04-26,16.48
2018-04-27,16.51
2018-04-30,16.32
2018-05-08,16.435
2018-05-09,16.466
2018-05-11,16.714
2018-05-14,16.501
2018-05-16,16.339
2018-05-23,16.397
2018-05-24,16.619
2018-05-29,16.37
2018-05-30,16.463
2018-05-31,16.454
2018-06-06,16.711
2018-06-07,16.677
2018-06-08,16.748
2018-06-13,16.947
2018-06-18,16.432
2018-06-20,16.25
2018-06-21,16.288
2018-06-22,16.371
2018-06-25,16.288
2018-07-02,15.8
2018-07-03,16.001
2018-07-09,16.059
2018-07-10,16.021
2018-07-11,15.786
2018-07-16,15.761
2018-07-17,15.57
2018-07-18,15.505
2018-07-19,15.271
2018-07-23,15.349
2018-07-24,15.407
2018-07-25,15.588
2018-07-26,15.333
2018-07-27,15.36
2018-07-30,15.46
2018-08-01,15.341
2018-08-02,15.267
2018-08-03,15.406
2018-08-07,15.337
2018-08-08,15.375
2018-08-10,15.305
2018-08-13,14.947
2018-08-15,14.397
2018-08-16,14.608
2018-08-17,14.774
2018-08-20,14.712
2018-09-06,14.111
2018-09-07,14.129
2018-09-11,14.1
2018-09-12,14.21
2018-09-13,14.11
2018-09-14,14.047
2018-09-17,14.141
2018-09-18,14.14
2018-09-19,14.203
2018-09-20,14.275
2018-09-25,14.424
2018-09-26,14.288
2018-09-27,14.374
2018-09-28,14.611
2018-10-01,14.455
2018-10-02,14.654
2018-10-03,14.634
2018-10-05,14.635
2018-10-08,14.347
2018-10-09,14.39
2018-10-11,14.39
2018-10-12,14.589
2018-10-15,14.715
2018-10-16,14.63
2018-10-17,14.689
2018-10-18,14.531
2018-10-19,14.604
2018-10-23,14.726
2018-10-24,14.672
2018-10-25,14.608
2018-10-30,14.448
2018-10-31,14.245
2018-11-01,14.71
2018-11-02,14.73
2018-11-05,14.605
2018-11-06,14.514
2018-11-07,14.576
2018-11-08,14.412
2018-11-09,14.166
2018-11-12,14.035
2018-11-13,13.954
2018-11-14,14.131
2018-11-15,14.274
2018-11-16,14.397
2018-11-19,14.379
2018-11-20,14.297
2018-11-21,14.45
2018-11-26,14.235
2018-11-27,14.122
2018-11-28,14.332
2018-11-30,14.16
2018-12-03,14.343
2018-12-04,14.502
2018-12-07,14.61
2018-12-11,14.507
2018-12-12,14.697
2018-12-13,14.741
2018-12-14,14.563
2018-12-17,14.645
2018-12-18,14.616
2018-12-19,14.583
2018-12-24,14.757
2018-12-27,15.213
2018-12-28,15.35
2018-12-31,15.469
2019-01-02,15.501
2019-01-03,15.714
2019-01-04,15.665
2019-01-07,15.629
2019-01-08,15.628
2019-01-09,15.65
2019-01-10,15.545
2019-01-15,15.56
2019-01-16,15.574
2019-01-22,15.311
2019-01-23,15.344
2019-01-24,15.296
2019-01-25,15.704
2019-01-28,15.733
2019-01-29,15.814
2019-01-30,16.043
2019-01-31,16.048
2019-02-01,15.899
2019-02-04,15.845
2019-02-05,15.827
2019-02-06,15.698
2019-02-07,15.713
2019-02-08,15.806
2019-02-11,15.664
2019-02-12,15.683
2019-02-13,15.551
2019-02-14,15.597
2019-02-15,15.77
2019-02-19,15.951
2019-02-20,16.034
2019-02-21,15.755
2019-02-22,15.918
2019-02-25,15.871
2019-02-26,15.909
2019-02-27,15.698
2019-02-28,15.59
2019-03-01,15.129
2019-03-04,15.058
2019-03-05,15.114
2019-03-06,15.059
2019-03-07,14.995
2019-03-08,15.332
2019-03-13,15.439
2019-03-14,15.172
2019-03-15,15.244
2019-03-18,15.324
2019-03-19,15.359
2019-03-20,15.465
2019-03-21,15.452
2019-03-22,15.416
2019-03-25,15.522
2019-03-26,15.416
2019-03-27,15.273
2019-03-28,15.012
2019-03-29,15.109
2019-04-01,15.064
2019-04-02,15.072
2019-04-03,15.084
2019-04-04,15.141
2019-04-05,15.085
2019-04-08,15.23
2019-04-09,15.187
2019-04-10,15.208
2019-04-11,14.925
2019-04-12,14.97
2019-04-15,14.953
2019-04-16,14.99
2019-04-17,14.952
2019-04-18,14.985
2019-04-23,14.801
2019-04-24,14.926
2019-04-25,14.913
2019-04-26,15.034
2019-04-29,14.867
2019-04-30,14.919
2019-05-01,14.644
2019-05-02,14.599
2019-05-03,14.899
2019-05-07,14.89
2019-05-08,14.801
2019-05-09,14.736
2019-05-10,14.758
2019-05-13,14.722
2019-05-14,14.751
2019-05-16,14.541
2019-05-17,14.411
2019-05-20,14.448
2019-05-21,14.405
2019-05-22,14.397
2019-05-23,14.574
2019-05-24,14.55
2019-05-30,14.472
2019-05-31,14.563
2019-06-03,14.735
2019-06-04,14.768
2019-06-05,14.781
2019-06-06,14.85
2019-06-07,15.0
2019-06-10,14.684
2019-06-11,14.711
2019-06-12,14.756
2019-06-13,14.858
2019-06-14,14.831
2019-06-17,14.793
2019-06-18,15.008
2019-06-19,15.102
2019-06-20,15.398
2019-06-21,15.307
2019-06-24,15.395
2019-06-25,15.319
2019-06-26,15.22
2019-06-27,15.22
2019-06-28,15.298
2019-07-01,15.118
2019-07-02,15.255
2019-07-03,15.258
2019-07-05,15.003
2019-07-08,14.985
2019-07-10,15.212
2019-07-11,15.105
2019-07-12,15.208
2019-07-15,15.335
2019-07-16,15.513
2019-07-17,15.944
2019-07-18,16.293
2019-07-19,16.117
2019-07-22,16.401
2019-07-23,16.343
2019-07-24,16.539
2019-07-25,16.358
2019-07-26,16.329
2019-07-29,16.386
2019-07-30,16.528
2019-07-31,16.225
2019-08-01,16.271
2019-08-02,16.197
2019-08-05,16.357
2019-08-06,16.425
2019-08-07,17.047
2019-08-08,16.889
2019-08-09,16.952
2019-08-12,17.046
2019-08-13,16.922
2019-08-14,17.201
2019-08-15,17.177
2019-08-16,17.093
2019-08-19,16.856
2019-08-20,17.134
2019-08-21,17.101
2019-08-22,16.991
2019-08-23,17.442
2019-08-27,18.148
2019-08-28,18.316
2019-08-29,18.217
2019-08-30,18.324
2019-09-03,19.227
2019-09-04,19.544
2019-09-05,18.7
2019-09-06,18.018
2019-09-09,18.013
2019-09-10,18.083
2019-09-11,18.104
2019-09-12,18.075
2019-09-13,17.419
2019-09-16,17.874
2019-09-17,18.015
2019-09-18,17.684
2019-09-19,17.784
2019-09-23,18.639
2019-09-24,18.553
2019-09-25,17.862
2019-09-26,17.821
2019-09-27,17.463
2019-09-30,16.957
2019-10-01,17.26
2019-10-02,17.62
2019-10-03,17.555
2019-10-04,17.534
2019-10-07,17.382
2019-10-08,17.739
2019-10-09,17.737
2019-10-10,17.507
2019-10-11,17.504
2019-10-14,17.603
2019-10-15,17.637
2019-10-16,17.341
