,entry_index,exit_index,entry_price,exit_price,pnl,reason
0,2018-06-18,2018-06-22,2.72,2.77,18.382352941176404,Take-profit hit
1,2018-07-02,2018-07-09,2.63,2.73,38.02281368821296,Take-profit hit
2,2018-07-16,2018-07-17,2.61,2.61,0.0,Stop-loss hit
3,2018-08-03,2018-08-08,2.74,2.74,0.0,Stop-loss hit
4,2018-08-08,2018-08-16,2.74,2.47,98.54014598540147,Stop-loss hit
5,2018-09-18,2018-09-20,2.64,2.6,15.151515151515163,Take-profit hit
6,2018-09-25,2018-09-26,2.54,2.45,-35.433070866141676,Stop-loss hit
7,2018-10-09,2018-10-16,2.27,2.27,0.0,Take-profit hit
8,2018-10-18,2018-10-24,2.36,2.31,21.18644067796603,Take-profit hit
9,2018-10-30,2018-10-31,2.24,2.16,-35.714285714285744,Stop-loss hit
10,2018-11-06,2018-11-07,2.21,2.15,-27.14932126696835,Stop-loss hit
11,2018-11-12,2018-11-13,2.12,2.02,-47.169811320754754,Stop-loss hit
12,2018-11-26,2018-11-28,1.86,1.95,48.38709677419347,Take-profit hit
13,2018-12-03,2018-12-04,2.02,1.93,44.55445544554459,Take-profit hit
14,2018-12-07,2018-12-13,2.0,2.1,-50.00000000000004,Stop-loss hit
15,2018-12-19,2019-01-02,1.88,2.2,170.21276595744698,Stop-loss hit
16,2019-01-08,2019-01-10,2.32,2.25,30.17241379310338,Take-profit hit
17,2019-01-16,2019-01-22,2.09,2.02,-33.4928229665071,Stop-loss hit
18,2019-01-30,2019-01-31,2.24,2.32,-35.714285714285545,Stop-loss hit
19,2019-02-15,2019-02-19,2.38,2.51,-54.62184873949576,Stop-loss hit
20,2019-03-04,2019-03-05,2.53,2.62,35.57312252964439,Take-profit hit
21,2019-03-06,2019-03-13,2.47,2.72,101.21457489878541,Stop-loss hit
22,2019-03-13,2019-03-14,2.72,2.58,51.47058823529416,Take-profit hit
23,2019-03-22,2019-04-01,2.7,2.5,74.07407407407413,Stop-loss hit
24,2019-04-12,2019-04-15,2.4,2.47,29.166666666666785,Take-profit hit
25,2019-04-16,2019-04-17,2.39,2.36,-12.552301255230228,Stop-loss hit
26,2019-05-01,2019-05-07,2.19,2.21,9.132420091324208,Take-profit hit
27,2019-05-09,2019-05-13,2.14,2.21,32.7102803738317,Take-profit hit
