entry_index,exit_index,entry_price,exit_price,pnl,reason
2018-06-06,2018-06-18,22.17,22.12,2.2552999548940327,Take-profit hit
2018-06-21,2018-06-25,21.37,21.39,0.9358914365933353,Stop-loss hit
2018-06-25,2018-07-02,21.39,21.94,25.712949976624625,Take-profit hit
2018-07-03,2018-07-11,22.39,21.98,18.311746315319343,Take-profit hit
2018-07-19,2018-07-23,21.25,21.04,-9.882352941176512,Stop-loss hit
2018-07-27,2018-07-30,20.93,20.73,-9.555661729574739,Stop-loss hit
2018-08-13,2018-08-15,20.0,18.32,-83.99999999999999,Stop-loss hit
2018-09-20,2018-09-28,17.0,17.47,-27.647058823529342,Stop-loss hit
2018-10-11,2018-10-12,18.06,17.39,37.09856035437421,Take-profit hit
2018-10-24,2018-10-25,17.01,16.15,-50.558495002939615,Stop-loss hit
2018-11-12,2018-11-15,15.81,15.41,-25.300442757748282,Stop-loss hit
2018-11-15,2018-11-16,15.41,16.19,50.61648280337451,Take-profit hit
2018-11-21,2018-11-27,16.34,15.34,61.19951040391677,Stop-loss hit
2018-11-27,2018-11-28,15.34,15.8,29.986962190352077,Take-profit hit
2018-12-07,2018-12-12,16.56,16.64,-4.830917874396247,Stop-loss hit
2018-12-24,2019-01-02,19.36,19.25,5.681818181818152,Take-profit hit
2019-01-15,2019-01-22,18.83,18.79,-2.1242697822623025,Stop-loss hit
2019-01-25,2019-01-29,19.57,20.17,-30.659172202350607,Stop-loss hit
2019-02-13,2019-02-15,20.92,21.37,21.510516252390023,Stop-loss hit
2019-02-15,2019-02-19,21.37,21.83,-21.525503041647042,Stop-loss hit
2019-02-22,2019-02-25,22.49,22.48,0.44464206313908455,Stop-loss hit
2019-03-01,2019-03-13,21.34,22.46,52.483598875351504,Stop-loss hit
2019-03-13,2019-03-14,22.46,21.95,22.707034728406125,Take-profit hit
2019-03-15,2019-03-19,22.54,22.75,-9.316770186335443,Stop-loss hit
2019-04-03,2019-04-08,23.44,23.85,17.491467576791816,Take-profit hit
2019-04-11,2019-04-12,23.13,23.1,-1.2970168612190915,Stop-loss hit
2019-04-16,2019-04-17,22.99,22.01,-42.627229230099914,Stop-loss hit
2019-05-01,2019-05-02,21.27,20.7,-26.798307475317362,Stop-loss hit
2019-05-08,2019-05-09,20.28,20.15,-6.410256410256536,Stop-loss hit
2019-05-16,2019-05-21,19.87,20.2,16.607951685958646,Take-profit hit
2019-05-22,2019-05-23,19.79,20.25,23.244062657908078,Take-profit hit
2019-05-30,2019-05-31,21.1,22.06,-45.49763033175342,Stop-loss hit
2019-06-12,2019-06-13,23.17,22.96,9.063444108761367,Take-profit hit
2019-06-17,2019-06-18,23.41,23.61,-8.543357539512998,Stop-loss hit
2019-07-01,2019-07-02,23.34,23.9,23.993144815766872,Take-profit hit
2019-07-05,2019-07-10,23.51,24.13,26.37175669927679,Take-profit hit
2019-07-12,2019-07-16,24.08,24.75,-27.823920265780803,Stop-loss hit
2019-07-31,2019-08-01,26.19,26.87,25.96410843833523,Take-profit hit
2019-08-02,2019-08-07,26.22,26.9,25.934401220442403,Take-profit hit
2019-08-08,2019-08-09,27.68,27.81,-4.6965317919074785,Stop-loss hit
2019-08-23,2019-08-27,28.67,29.75,-37.67003836763161,Stop-loss hit
2019-09-03,2019-09-06,30.18,28.92,41.74950298210729,Take-profit hit
2019-09-09,2019-09-10,28.22,27.88,-12.048192771084333,Stop-loss hit
2019-09-23,2019-09-24,28.08,28.48,-14.245014245014323,Stop-loss hit
2019-09-30,2019-10-03,26.31,26.89,22.044849866970807,Take-profit hit
2019-10-10,2019-10-11,27.31,26.21,40.27828634199919,Stop-loss hit
2019-10-11,2019-10-15,26.21,25.24,-37.00877527661207,Stop-loss hit
2019-10-24,2019-10-25,27.01,27.5,-18.14142910033315,Stop-loss hit
2019-10-31,2019-11-04,28.4,26.8,56.33802816901402,Take-profit hit
2019-11-07,2019-11-13,26.5,26.64,5.28301886792455,Take-profit hit
2019-11-18,2019-11-19,27.82,27.88,-2.156721782889961,Stop-loss hit
2019-12-02,2019-12-03,27.97,28.24,-9.653199856989616,Stop-loss hit
2019-12-09,2019-12-11,27.11,27.89,28.77167097012177,Take-profit hit
2019-12-19,2019-12-23,28.01,28.49,-17.136736879685714,Stop-loss hit
2019-12-23,2019-12-24,28.49,29.4,-31.941031941031945,Stop-loss hit
2020-01-08,2020-01-09,27.99,27.78,-7.502679528402906,Stop-loss hit
2020-01-21,2020-01-22,28.83,29.1,-9.365244536940796,Stop-loss hit
2020-02-04,2020-02-05,28.8,28.61,-6.597222222222267,Stop-loss hit
2020-02-11,2020-02-12,29.42,28.86,19.034670292318225,Take-profit hit
2020-02-14,2020-02-18,29.98,31.48,-50.03335557038025,Stop-loss hit
2020-02-28,2020-03-02,28.33,29.12,27.885633603953504,Stop-loss hit
2020-03-09,2020-03-12,28.61,27.04,-54.875917511359674,Stop-loss hit
2020-03-20,2020-03-23,24.51,25.87,55.48755609955118,Take-profit hit
2020-03-24,2020-03-25,27.87,28.98,-39.82777179763184,Stop-loss hit
2020-04-06,2020-04-09,29.61,31.52,-64.50523471800068,Stop-loss hit
2020-04-09,2020-04-14,31.52,33.71,-69.47969543147212,Stop-loss hit
2020-05-01,2020-05-07,41.18,43.77,-62.8946090335115,Stop-loss hit
2020-05-14,2020-05-15,43.92,45.64,-39.162112932604714,Stop-loss hit
2020-05-26,2020-05-27,42.84,42.18,-15.40616246498608,Stop-loss hit
2020-06-02,2020-06-03,41.91,39.26,-63.23073252207108,Stop-loss hit
2020-06-19,2020-06-22,41.85,42.4,-13.142174432496946,Stop-loss hit
2020-06-30,2020-07-06,43.88,44.2,-7.292616226071108,Stop-loss hit
2020-07-14,2020-07-20,46.74,49.61,-61.40350877192977,Stop-loss hit
2020-08-04,2020-08-06,56.13,55.22,16.212364154641076,Take-profit hit
2020-08-07,2020-08-11,53.03,49.11,-73.92042240241375,Stop-loss hit
2020-08-26,2020-08-27,52.99,51.61,26.042649556520146,Take-profit hit
2020-08-28,2020-09-02,53.02,53.54,-9.807619766125915,Stop-loss hit
2020-09-02,2020-09-03,53.54,52.47,19.985057900635045,Take-profit hit
2020-09-10,2020-09-11,53.41,52.91,9.361542782250515,Take-profit hit
2020-09-16,2020-09-18,53.49,51.24,42.06393718452047,Stop-loss hit
2020-09-18,2020-09-22,51.24,49.94,-25.37080405932873,Stop-loss hit
2020-10-06,2020-10-09,47.59,50.89,69.34229880226931,Stop-loss hit
2020-10-09,2020-10-16,50.89,49.87,20.043230497150777,Take-profit hit
2020-10-23,2020-10-28,48.52,44.31,-86.76834295136027,Stop-loss hit
2020-11-05,2020-11-06,49.31,50.41,-22.3078483066314,Stop-loss hit
2020-11-11,2020-11-18,44.39,41.86,-56.994818652849766,Stop-loss hit
2020-11-18,2020-11-19,41.86,40.75,-26.51696129956998,Stop-loss hit
2020-12-02,2020-12-04,41.54,40.15,33.461723639865205,Take-profit hit
2020-12-07,2020-12-08,41.7,42.28,-13.908872901678617,Stop-loss hit
2020-12-14,2020-12-15,40.13,41.3,29.155245452279953,Take-profit hit
2020-12-17,2020-12-22,43.1,41.21,43.85150812064966,Take-profit hit
2020-12-30,2021-01-04,42.92,45.52,-60.577819198508884,Stop-loss hit
2021-01-04,2021-01-05,45.52,45.35,3.7346221441125156,Stop-loss hit
2021-01-13,2021-01-15,41.19,39.93,-30.589949016751593,Stop-loss hit
2021-01-26,2021-01-27,39.83,37.3,-63.51995982927445,Stop-loss hit
2021-02-01,2021-02-02,43.48,41.13,54.04783808647641,Take-profit hit
2021-06-14,2021-06-15,47.75,46.84,19.057591623036576,Stop-loss hit
2021-07-02,2021-07-06,44.78,44.76,0.44662795891029755,Stop-loss hit
2021-07-08,2021-07-09,43.5,44.42,21.149425287356358,Take-profit hit
2021-07-14,2021-07-15,45.18,45.53,-7.746790615316543,Stop-loss hit
2021-07-19,2021-07-21,42.96,44.13,27.234636871508417,Take-profit hit
2021-07-28,2021-07-29,44.99,46.17,-26.22805067792842,Stop-loss hit
2021-08-06,2021-08-09,44.34,42.65,-38.11456923770872,Stop-loss hit
2021-08-12,2021-08-13,42.78,44.42,38.335670874240314,Take-profit hit
2021-08-19,2021-08-25,42.54,43.73,27.97367183826981,Take-profit hit
2021-08-27,2021-08-31,44.9,45.06,-3.5634743875279224,Stop-loss hit
2021-09-03,2021-09-07,46.51,45.23,27.520963233713207,Take-profit hit
2021-09-13,2021-09-16,44.41,41.44,-66.87682954289572,Stop-loss hit
2021-10-12,2021-10-13,38.43,39.78,-35.12880562060894,Stop-loss hit
2021-10-28,2021-10-29,40.94,40.44,-12.212994626282365,Stop-loss hit
2021-11-08,2021-11-09,41.27,42.15,-21.32299491155792,Stop-loss hit
2021-11-23,2021-11-26,42.35,41.99,-8.500590318772122,Stop-loss hit
2021-12-01,2021-12-02,40.85,40.13,-17.625458996328003,Stop-loss hit
2021-12-15,2021-12-16,39.11,40.74,41.67732037841991,Take-profit hit
