Date,pnl
2010-02-05,-0.490000000000002
2010-03-04,-1.5700000000000003
2010-03-18,-1.9299999999999997
2010-03-31,-0.35999999999999943
2010-04-20,-0.04999999999999716
2010-04-22,-0.37999999999999545
2010-04-26,-1.4699999999999989
2010-05-03,-2.229999999999997
2010-05-18,-1.3599999999999994
2010-05-21,-1.0599999999999952
2010-05-26,-2.3399999999999963
2010-06-14,-1.5999999999999943
2010-06-22,-3.1999999999999957
2010-06-25,-3.729999999999997
2010-07-19,-4.489999999999995
2010-08-03,-2.75
2010-08-09,-2.8299999999999983
2010-08-20,-0.1700000000000017
2010-08-25,-0.75
2010-08-31,-1.740000000000002
2010-09-22,0.21000000000000085
2010-09-27,-0.8999999999999986
2010-09-29,-1.230000000000004
2010-10-04,-1.6200000000000045
2010-10-07,-2.3000000000000043
2010-10-22,-1.5100000000000051
2010-11-03,-2.0800000000000054
2010-11-09,-2.700000000000003
2010-11-15,-3.780000000000001
2010-11-19,-6.710000000000001
2010-11-23,-7.540000000000006
2010-12-09,-4.340000000000003
2010-12-13,-5.060000000000002
2010-12-22,-6.550000000000004
2011-01-31,-10.420000000000002
2011-02-04,-11.299999999999997
2011-02-11,-11.420000000000002
2011-02-15,-12.009999999999998
2011-03-09,-15.069999999999993
2011-03-14,-16.319999999999993
2011-04-05,-17.33999999999999
2011-04-11,-17.469999999999985
2011-05-09,-19.789999999999985
2011-05-11,-20.68999999999999
2011-05-17,-21.989999999999995
2011-05-23,-23.25
2011-05-25,-24.130000000000003
2011-06-13,-25.020000000000003
2011-06-15,-25.92
2011-06-20,-25.730000000000004
2011-07-18,-23.43
2011-07-26,-23.560000000000002
2011-08-01,-25.070000000000007
2011-08-03,-25.720000000000006
2011-08-16,-22.390000000000008
2011-08-22,-24.720000000000006
2011-08-26,-25.34000000000001
2011-09-20,-27.560000000000016
2011-09-27,-28.960000000000015
2011-09-29,-30.000000000000014
2011-10-14,-32.460000000000015
2011-10-19,-32.79000000000002
2011-10-26,-34.08000000000002
2011-11-08,-35.170000000000016
2011-11-15,-36.740000000000016
2011-12-12,-36.86000000000002
2011-12-19,-35.79000000000002
2011-12-22,-35.980000000000025
2012-01-31,-32.620000000000026
2012-02-09,-33.08000000000003
2012-02-13,-33.510000000000026
2012-03-12,-31.790000000000028
2012-03-15,-32.660000000000025
2012-03-27,-33.28000000000002
2012-04-20,-33.51000000000002
2012-04-24,-33.990000000000016
2012-05-10,-31.200000000000017
2012-05-15,-31.210000000000015
2012-05-21,-30.94000000000002
2012-05-23,-31.350000000000016
2012-06-11,-28.850000000000016
2012-06-26,-27.650000000000013
2012-07-20,-26.390000000000015
2012-07-25,-24.940000000000012
2012-08-03,-23.180000000000007
2012-08-07,-23.5
2012-08-09,-23.82
2012-08-16,-23.64
2012-08-20,-24.03
2012-08-22,-24.220000000000006
2012-08-29,-24.200000000000003
2012-09-20,-27.64
2012-09-24,-28.11
2012-09-26,-29.22
2012-10-08,-30.759999999999998
2012-10-15,-30.990000000000002
2012-10-24,-32.190000000000005
2012-11-13,-31.520000000000003
2012-12-06,-33.71000000000001
2012-12-11,-33.67000000000001
2012-12-18,-33.85000000000001
2012-12-27,-34.690000000000005
2013-03-25,-37.940000000000005
2013-04-16,-41.18
2013-04-23,-41.17
2013-05-06,-40.839999999999996
2013-05-17,-40.39
2013-06-17,-42.84
2013-06-20,-43.63
2013-07-22,-46.75000000000001
2013-07-24,-47.59000000000001
2013-07-31,-48.38
2013-08-06,-49.13
2013-08-08,-49.73000000000001
2013-08-15,-49.30000000000002
2013-08-21,-48.09000000000001
2013-09-16,-47.75000000000001
2013-10-01,-47.25000000000001
2013-10-08,-47.49
2013-10-10,-48.18
2013-10-15,-48.63
2013-10-17,-48.309999999999995
2013-11-18,-47.039999999999985
2013-11-26,-47.35999999999999
2013-12-30,-45.059999999999995
2014-01-09,-45.35999999999999
2014-02-13,-44.559999999999995
