Date,pnl
2012-10-11,-41.2
2013-07-02,5.749999999999993
2014-01-15,-3.720000000000006
2014-08-11,-30.150000000000006
2015-04-30,-14.050000000000011
2016-01-08,14.249999999999986
2018-01-10,-36.100000000000016
2018-05-22,-39.490000000000016
2018-08-09,-34.310000000000024
2018-10-09,-42.24000000000003
2019-01-14,-51.35000000000003
2019-04-30,-56.43000000000003
2019-05-06,-53.15000000000003
2019-08-09,-98.74000000000004
2019-08-13,-95.17000000000003
2019-08-20,-98.45000000000003
2019-10-08,-100.25000000000001
2020-01-07,-90.54000000000002
2020-04-28,-105.47000000000003
2020-05-01,-100.58000000000001
2020-05-12,-104.59
2020-05-15,-110.03
2020-06-30,-98.89000000000001
2020-08-10,-113.15000000000002
2020-10-13,-106.98000000000002
2021-01-05,-93.16000000000001
2021-04-27,-97.53000000000002
2021-05-14,-104.93
2021-05-18,-103.98
2021-08-10,-93.06
2021-10-12,-73.67
2021-10-18,-72.02000000000001
2022-04-26,-38.08000000000001
2022-05-09,-30.87000000000002
2022-08-09,-47.80000000000001
2022-08-31,-35.610000000000014
2022-10-11,-29.430000000000007
2023-01-03,-51.02000000000001
2023-04-25,-66.44000000000001
2023-08-09,-46.98000000000003
2023-08-16,-42.180000000000035
2023-08-22,-41.03000000000003
2023-10-10,-36.790000000000035
2024-01-02,-48.960000000000036
2024-04-30,-50.75000000000004
2024-08-09,-59.71000000000005
2024-10-08,-64.18000000000005
2025-01-07,-60.23000000000006
2025-01-30,-62.63000000000007
