Date,pnl
2010-08-11,0.16000000000000014
2010-08-17,-0.870000000000001
2010-08-24,-1.6900000000000013
2011-08-31,-19.800000000000004
2011-10-04,-32.11000000000001
2011-10-18,-30.290000000000006
2011-10-25,-33.59
2012-07-31,-39.44000000000001
2012-08-03,-38.99000000000001
2012-08-07,-39.34
2012-08-16,-37.620000000000005
2012-08-21,-39.10000000000001
2012-08-27,-39.51000000000001
2012-10-02,-44.91000000000001
2013-08-09,-60.37000000000001
2013-08-21,-58.43000000000001
2014-01-15,-52.95
2014-03-14,-48.06
2014-03-19,-49.1
2014-04-24,-46.19
2014-05-05,-46.269999999999996
2014-06-20,-49.0
2014-06-25,-49.21
2014-09-26,-43.9
2014-11-20,-42.849999999999994
2015-04-09,-44.94999999999999
2015-05-18,-44.18999999999998
2015-09-01,-52.009999999999984
2015-11-23,-51.249999999999986
2016-04-21,-44.889999999999986
2017-05-03,-43.819999999999986
2017-06-23,-42.539999999999985
2017-06-30,-42.77999999999999
2017-09-29,-42.52999999999999
2017-10-13,-41.499999999999986
2017-10-20,-42.329999999999984
2017-10-26,-42.899999999999984
2017-12-20,-44.329999999999984
2017-12-26,-44.12999999999998
2018-02-15,-41.84999999999998
2018-04-17,-39.95999999999998
2018-04-19,-40.14999999999998
2018-07-31,-39.909999999999975
2018-08-10,-39.89999999999998
2018-08-22,-38.06999999999998
2018-10-10,-38.54999999999998
2018-10-17,-39.05999999999999
2018-10-31,-37.97999999999999
2018-11-08,-38.80999999999999
2018-11-16,-38.719999999999985
2019-04-25,-33.36999999999998
2019-05-06,-34.72999999999998
2019-05-14,-33.91999999999998
2019-06-21,-30.10999999999998
2019-06-26,-30.73999999999998
2019-08-07,-33.66999999999998
2019-08-15,-34.68999999999998
2019-08-22,-35.26999999999998
2019-09-27,-37.12999999999998
2019-10-07,-36.43999999999998
2019-10-14,-37.52999999999999
2019-10-21,-38.389999999999986
2019-11-21,-36.98999999999998
2019-11-25,-37.31999999999998
2019-12-26,-39.45999999999998
2020-01-03,-39.479999999999976
2020-01-16,-38.23999999999998
2020-04-17,-32.119999999999976
2020-04-22,-30.42999999999997
2020-04-29,-28.78999999999997
2020-05-18,-35.989999999999974
2020-05-21,-38.09999999999997
2020-06-19,-35.20999999999997
2020-06-26,-35.31999999999997
2020-08-17,-45.81999999999997
2020-09-03,-46.47999999999997
2020-10-02,-43.76999999999997
2020-10-16,-43.71999999999997
2020-12-23,-37.19999999999997
2020-12-31,-37.75999999999997
2021-01-08,-39.879999999999974
2021-04-20,-39.74999999999998
2021-04-23,-40.34999999999998
2021-05-05,-40.31999999999998
2021-05-24,-36.53999999999998
2021-06-25,-32.76999999999998
2021-07-30,-30.56999999999998
2021-08-05,-30.979999999999976
2021-08-16,-30.989999999999974
2021-10-01,-37.979999999999976
2021-10-21,-34.07999999999998
2021-12-22,-34.25999999999998
2022-02-11,-34.489999999999974
2022-04-14,-25.559999999999974
2022-04-20,-25.039999999999978
2022-05-03,-20.52999999999998
2022-05-11,-24.869999999999983
2022-05-18,-25.17999999999998
2022-07-29,-32.31999999999998
2022-08-08,-32.16999999999998
2022-08-10,-32.61999999999998
2022-08-25,-34.289999999999985
2022-08-30,-35.079999999999984
2022-09-30,-36.98999999999998
2022-10-10,-38.51999999999998
2022-10-20,-38.01999999999998
2022-12-21,-30.62999999999998
2022-12-30,-31.37999999999998
2023-01-04,-32.95999999999998
2023-04-28,-25.67999999999998
2023-05-11,-24.419999999999973
2023-08-08,-17.849999999999973
2023-08-15,-19.699999999999967
2023-08-23,-20.809999999999967
2023-10-05,-24.04999999999996
2023-10-20,-20.609999999999964
2023-12-20,-26.149999999999963
2023-12-28,-25.859999999999964
2024-01-10,-24.849999999999966
2024-04-26,-18.86999999999997
2024-05-01,-19.319999999999965
2024-05-08,-20.589999999999968
2024-05-22,-19.989999999999974
2024-08-12,-21.669999999999973
2024-08-26,-17.50999999999997
2024-10-10,-15.859999999999964
2024-11-21,-13.249999999999964
2024-12-26,-19.359999999999964
2025-01-30,-13.899999999999963
